Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/06/24
Anzola d'Ossola;103002;-1;0;0;2021/06/24
Arizzano;103003;-1;0;0;2021/06/24
Arola;103004;-1;0;0;2021/06/24
Aurano;103005;-1;0;0;2021/06/24
Baceno;103006;-1;0;0;2021/06/24
Bannio Anzino;103007;-1;0;0;2021/06/24
Baveno;103008;-1;0;0;2021/06/24
Bee;103009;-1;0;0;2021/06/24
Belgirate;103010;-1;0;0;2021/06/24
Beura-Cardezza;103011;-1;0;0;2021/06/24
Bognanco;103012;-1;0;0;2021/06/24
Brovello-Carpugnino;103013;-1;0;0;2021/06/24
Calasca-Castiglione;103014;-1;0;0;2021/06/24
Cambiasca;103015;-1;0;0;2021/06/24
Cannero Riviera;103016;-1;1;1.100000023841858;2021/06/24
Cannobio;103017;-1;0;0;2021/06/24
Caprezzo;103018;-1;0;0;2021/06/24
Casale Corte Cerro;103019;-1;0;0;2021/06/24
Ceppo Morelli;103021;-1;0;0;2021/06/24
Cesara;103022;-1;1;1.6799999475479126;2021/06/24
Cossogno;103023;-1;0;0;2021/06/24
Craveggia;103024;-1;0;0;2021/06/24
Crevoladossola;103025;-1;0;0;2021/06/24
Crodo;103026;-1;0;0;2021/06/24
Domodossola;103028;-1;1;0.05999999865889549;2021/06/24
Druogno;103029;-1;0;0;2021/06/24
Formazza;103031;-1;0;0;2021/06/24
Germagno;103032;-1;0;0;2021/06/24
Ghiffa;103033;-1;1;0.41999998688697815;2021/06/24
Gignese;103034;-1;0;0;2021/06/24
Gravellona Toce;103035;-1;0;0;2021/06/24
Gurro;103036;-1;0;0;2021/06/24
Intragna;103037;-1;0;0;2021/06/24
Loreglia;103038;-1;0;0;2021/06/24
Macugnaga;103039;-1;0;0;2021/06/24
Madonna del Sasso;103040;-1;0;0;2021/06/24
Malesco;103041;-1;0;0;2021/06/24
Masera;103042;-1;0;0;2021/06/24
Massiola;103043;-1;0;0;2021/06/24
Mergozzo;103044;-1;0;0;2021/06/24
Miazzina;103045;-1;0;0;2021/06/24
Montecrestese;103046;-1;0;0;2021/06/24
Montescheno;103047;-1;0;0;2021/06/24
Nonio;103048;-1;0;0;2021/06/24
Oggebbio;103049;-1;0;0;2021/06/24
Omegna;103050;-1;2;0.12999999523162842;2021/06/24
Ornavasso;103051;-1;0;0;2021/06/24
Pallanzeno;103052;-1;0;0;2021/06/24
Piedimulera;103053;-1;0;0;2021/06/24
Pieve Vergonte;103054;-1;3;1.190000057220459;2021/06/24
Premeno;103055;-1;0;0;2021/06/24
Premia;103056;-1;0;0;2021/06/24
Premosello-Chiovenda;103057;-1;1;0.5199999809265137;2021/06/24
Quarna Sopra;103058;-1;0;0;2021/06/24
Quarna Sotto;103059;-1;0;0;2021/06/24
Re;103060;-1;0;0;2021/06/24
San Bernardino Verbano;103061;-1;0;0;2021/06/24
Santa Maria Maggiore;103062;-1;0;0;2021/06/24
Stresa;103064;-1;0;0;2021/06/24
Toceno;103065;-1;0;0;2021/06/24
Trarego Viggiona;103066;-1;0;0;2021/06/24
Trasquera;103067;-1;0;0;2021/06/24
Trontano;103068;-1;1;0.6000000238418579;2021/06/24
Valstrona;103069;-1;1;0.8199999928474426;2021/06/24
Vanzone con San Carlo;103070;-1;0;0;2021/06/24
Varzo;103071;-1;0;0;2021/06/24
Verbania;103072;-1;3;0.10000000149011612;2021/06/24
Vignone;103074;-1;0;0;2021/06/24
Villadossola;103075;-1;3;0.46000000834465027;2021/06/24
Villette;103076;-1;0;0;2021/06/24
Vogogna;103077;-1;0;0;2021/06/24
Borgomezzavalle;103078;-1;0;0;2021/06/24
Valle Cannobina;103079;-1;0;0;2021/06/24
Valdilana;096088;-1;5;0.46000000834465027;2021/06/24
Quaregna Cerreto;096087;-1;0;0;2021/06/24
Campiglia Cervo;096086;-1;5;9.960000038146973;2021/06/24
Lessona;096085;-1;0;0;2021/06/24
Zumaglia;096083;-1;0;0;2021/06/24
Zubiena;096082;-1;0;0;2021/06/24
Zimone;096081;-1;0;0;2021/06/24
Viverone;096080;-1;0;0;2021/06/24
Villanova Biellese;096079;-1;0;0;2021/06/24
Villa del Bosco;096078;-1;0;0;2021/06/24
Vigliano Biellese;096077;-1;0;0;2021/06/24
Verrone;096076;-1;0;0;2021/06/24
Veglio;096075;-1;0;0;2021/06/24
Valle San Nicolao;096074;-1;0;0;2021/06/24
Vallanzengo;096072;-1;0;0;2021/06/24
Valdengo;096071;-1;2;0.8100000023841858;2021/06/24
Torrazzo;096069;-1;0;0;2021/06/24
Tollegno;096068;-1;2;0.8199999928474426;2021/06/24
Ternengo;096067;-1;0;0;2021/06/24
Tavigliano;096066;-1;0;0;2021/06/24
Strona;096065;-1;0;0;2021/06/24
Sostegno;096064;-1;0;0;2021/06/24
Sordevolo;096063;-1;0;0;2021/06/24
Sandigliano;096059;-1;0;0;2021/06/24
Salussola;096058;-1;0;0;2021/06/24
Sala Biellese;096057;-1;0;0;2021/06/24
Sagliano Micca;096056;-1;0;0;2021/06/24
Rosazza;096055;-1;0;0;2021/06/24
Roppolo;096054;-1;1;1.1399999856948853;2021/06/24
Ronco Biellese;096053;-1;0;0;2021/06/24
Pray;096050;-1;0;0;2021/06/24
Pralungo;096049;-1;1;0.41999998688697815;2021/06/24
Portula;096048;-1;0;0;2021/06/24
Ponderano;096047;-1;1;0.25999999046325684;2021/06/24
Pollone;096046;-1;1;0.4699999988079071;2021/06/24
Piedicavallo;096044;-1;0;0;2021/06/24
Piatto;096043;-1;0;0;2021/06/24
Pettinengo;096042;-1;3;1.9700000286102295;2021/06/24
Occhieppo Superiore;096041;-1;0;0;2021/06/24
Occhieppo Inferiore;096040;-1;1;0.25999999046325684;2021/06/24
Netro;096039;-1;2;2.059999942779541;2021/06/24
Muzzano;096038;-1;0;0;2021/06/24
Mottalciata;096037;-1;0;0;2021/06/24
Mongrando;096035;-1;3;0.7900000214576721;2021/06/24
Miagliano;096034;-1;0;0;2021/06/24
Mezzana Mortigliengo;096033;-1;3;5.989999771118164;2021/06/24
Masserano;096032;-1;1;0.47999998927116394;2021/06/24
Massazza;096031;-1;0;0;2021/06/24
Magnano;096030;-1;0;0;2021/06/24
Graglia;096028;-1;0;0;2021/06/24
Gifflenga;096027;-1;0;0;2021/06/24
Gaglianico;096026;-1;4;1.0700000524520874;2021/06/24
Dorzano;096025;-1;0;0;2021/06/24
Donato;096024;-1;0;0;2021/06/24
Curino;096023;-1;0;0;2021/06/24
Crevacuore;096021;-1;0;0;2021/06/24
Cossato;096020;-1;6;0.4099999964237213;2021/06/24
Coggiola;096019;-1;2;1.1100000143051147;2021/06/24
Cerrione;096018;-1;2;0.6899999976158142;2021/06/24
Cavaglià;096016;-1;0;0;2021/06/24
Castelletto Cervo;096015;-1;0;0;2021/06/24
Casapinta;096014;-1;0;0;2021/06/24
Caprile;096013;-1;0;0;2021/06/24
Candelo;096012;-1;3;0.4000000059604645;2021/06/24
Camburzano;096010;-1;0;0;2021/06/24
Camandona;096009;-1;0;0;2021/06/24
Callabiana;096008;-1;0;0;2021/06/24
Brusnengo;096007;-1;0;0;2021/06/24
Borriana;096006;-1;0;0;2021/06/24
Bioglio;096005;-1;0;0;2021/06/24
Biella;096004;-1;23;0.5199999809265137;2021/06/24
Benna;096003;-1;0;0;2021/06/24
Andorno Micca;096002;-1;1;0.3100000023841858;2021/06/24
Ailoche;096001;-1;0;0;2021/06/24
Lu e Cuccaro Monferrato;006193;-1;0;0;2021/06/24
Alluvioni Piovera;006192;-1;0;0;2021/06/24
Cassano Spinola;006191;-1;0;0;2021/06/24
Voltaggio;006190;-1;0;0;2021/06/24
Volpeglino;006189;-1;0;0;2021/06/24
Volpedo;006188;-1;0;0;2021/06/24
Visone;006187;-1;0;0;2021/06/24
Villaromagnano;006186;-1;0;0;2021/06/24
Villanova Monferrato;006185;-1;0;0;2021/06/24
Villamiroglio;006184;-1;0;0;2021/06/24
Villalvernia;006183;-1;0;0;2021/06/24
Villadeati;006182;-1;1;2.049999952316284;2021/06/24
Viguzzolo;006181;-1;1;0.3199999928474426;2021/06/24
Vignole Borbera;006180;-1;0;0;2021/06/24
Vignale Monferrato;006179;-1;0;0;2021/06/24
Valmacca;006178;-1;0;0;2021/06/24
Valenza;006177;-1;5;0.27000001072883606;2021/06/24
Trisobbio;006176;-1;0;0;2021/06/24
Treville;006175;-1;0;0;2021/06/24
Tortona;006174;-1;5;0.18000000715255737;2021/06/24
Ticineto;006173;-1;0;0;2021/06/24
Terzo;006172;-1;0;0;2021/06/24
Terruggia;006171;-1;0;0;2021/06/24
Tassarolo;006170;-1;1;1.590000033378601;2021/06/24
Tagliolo Monferrato;006169;-1;0;0;2021/06/24
Strevi;006168;-1;0;0;2021/06/24
Stazzano;006167;-1;0;0;2021/06/24
Spineto Scrivia;006166;-1;0;0;2021/06/24
Spigno Monferrato;006165;-1;0;0;2021/06/24
Solonghello;006164;-1;0;0;2021/06/24
Solero;006163;-1;0;0;2021/06/24
Silvano d'Orba;006162;-1;1;0.5199999809265137;2021/06/24
Sezzadio;006161;-1;0;0;2021/06/24
Serravalle Scrivia;006160;-1;2;0.33000001311302185;2021/06/24
Serralunga di Crea;006159;-1;0;0;2021/06/24
Sarezzano;006158;-1;0;0;2021/06/24
Sardigliano;006157;-1;0;0;2021/06/24
Sant'Agata Fossili;006156;-1;0;0;2021/06/24
San Sebastiano Curone;006155;-1;0;0;2021/06/24
San Salvatore Monferrato;006154;-1;1;0.23999999463558197;2021/06/24
San Giorgio Monferrato;006153;-1;0;0;2021/06/24
San Cristoforo;006152;-1;0;0;2021/06/24
Sale;006151;-1;0;0;2021/06/24
Sala Monferrato;006150;-1;0;0;2021/06/24
Rosignano Monferrato;006149;-1;0;0;2021/06/24
Rocchetta Ligure;006148;-1;0;0;2021/06/24
Rocca Grimalda;006147;-1;1;0.6800000071525574;2021/06/24
Roccaforte Ligure;006146;-1;0;0;2021/06/24
Rivarone;006145;-1;0;0;2021/06/24
Rivalta Bormida;006144;-1;0;0;2021/06/24
Ricaldone;006143;-1;0;0;2021/06/24
Quattordio;006142;-1;1;0.6299999952316284;2021/06/24
Quargnento;006141;-1;2;1.4199999570846558;2021/06/24
Predosa;006140;-1;0;0;2021/06/24
Prasco;006139;-1;0;0;2021/06/24
Pozzolo Formigaro;006138;-1;0;0;2021/06/24
Pozzol Groppo;006137;-1;0;0;2021/06/24
Ponzone;006136;-1;0;0;2021/06/24
Ponzano Monferrato;006135;-1;0;0;2021/06/24
Ponti;006134;-1;0;0;2021/06/24
Pontestura;006133;-1;0;0;2021/06/24
Pontecurone;006132;-1;0;0;2021/06/24
Pomaro Monferrato;006131;-1;0;0;2021/06/24
Pietra Marazzi;006129;-1;0;0;2021/06/24
Pecetto di Valenza;006128;-1;0;0;2021/06/24
Pasturana;006127;-1;2;1.5700000524520874;2021/06/24
Parodi Ligure;006126;-1;0;0;2021/06/24
Pareto;006125;-1;0;0;2021/06/24
Paderna;006124;-1;0;0;2021/06/24
Ozzano Monferrato;006123;-1;0;0;2021/06/24
Oviglio;006122;-1;0;0;2021/06/24
Ovada;006121;-1;10;0.8899999856948853;2021/06/24
Ottiglio;006120;-1;0;0;2021/06/24
Orsara Bormida;006119;-1;0;0;2021/06/24
Olivola;006118;-1;0;0;2021/06/24
Odalengo Piccolo;006117;-1;0;0;2021/06/24
Odalengo Grande;006116;-1;0;0;2021/06/24
Occimiano;006115;-1;1;0.7799999713897705;2021/06/24
Novi Ligure;006114;-1;9;0.3199999928474426;2021/06/24
Murisengo;006113;-1;0;0;2021/06/24
Morsasco;006112;-1;0;0;2021/06/24
Mornese;006111;-1;0;0;2021/06/24
Morbello;006110;-1;0;0;2021/06/24
Morano sul Po;006109;-1;0;0;2021/06/24
Montemarzino;006108;-1;0;0;2021/06/24
Montegioco;006107;-1;0;0;2021/06/24
Montechiaro d'Acqui;006106;-1;0;0;2021/06/24
Montecastello;006105;-1;0;0;2021/06/24
Montaldo Bormida;006104;-1;0;0;2021/06/24
Montaldeo;006103;-1;0;0;2021/06/24
Montacuto;006102;-1;0;0;2021/06/24
Monleale;006101;-1;0;0;2021/06/24
Mongiardino Ligure;006100;-1;0;0;2021/06/24
Moncestino;006099;-1;0;0;2021/06/24
Momperone;006098;-1;0;0;2021/06/24
Mombello Monferrato;006097;-1;0;0;2021/06/24
Molino dei Torti;006096;-1;0;0;2021/06/24
Molare;006095;-1;0;0;2021/06/24
Mirabello Monferrato;006094;-1;3;2.2899999618530273;2021/06/24
Merana;006093;-1;0;0;2021/06/24
Melazzo;006092;-1;0;0;2021/06/24
Masio;006091;-1;0;0;2021/06/24
Malvicino;006090;-1;0;0;2021/06/24
Lerma;006088;-1;0;0;2021/06/24
Isola Sant'Antonio;006087;-1;0;0;2021/06/24
Guazzora;006086;-1;0;0;2021/06/24
Grondona;006085;-1;0;0;2021/06/24
Grognardo;006084;-1;0;0;2021/06/24
Gremiasco;006083;-1;0;0;2021/06/24
Giarole;006082;-1;0;0;2021/06/24
Gavi;006081;-1;2;0.4399999976158142;2021/06/24
Garbagna;006079;-1;0;0;2021/06/24
Gamalero;006078;-1;1;1.2100000381469727;2021/06/24
Gabiano;006077;-1;0;0;2021/06/24
Fubine Monferrato;006076;-1;2;1.25;2021/06/24
Frugarolo;006075;-1;2;1.0199999809265137;2021/06/24
Fresonara;006074;-1;0;0;2021/06/24
Frassineto Po;006073;-1;0;0;2021/06/24
Frassinello Monferrato;006072;-1;0;0;2021/06/24
Frascaro;006071;-1;0;0;2021/06/24
Francavilla Bisio;006070;-1;0;0;2021/06/24
Fraconalto;006069;-1;0;0;2021/06/24
Felizzano;006068;-1;2;0.8899999856948853;2021/06/24
Fabbrica Curone;006067;-1;0;0;2021/06/24
Dernice;006066;-1;0;0;2021/06/24
Denice;006065;-1;0;0;2021/06/24
Cremolino;006063;-1;0;0;2021/06/24
Costa Vescovato;006062;-1;0;0;2021/06/24
Conzano;006061;-1;0;0;2021/06/24
Coniolo;006060;-1;0;0;2021/06/24
Cerrina Monferrato;006059;-1;1;0.7400000095367432;2021/06/24
Cerreto Grue;006058;-1;0;0;2021/06/24
Cereseto;006057;-1;2;4.960000038146973;2021/06/24
Cella Monte;006056;-1;0;0;2021/06/24
Cavatore;006055;-1;0;0;2021/06/24
Castelspina;006054;-1;0;0;2021/06/24
Castelnuovo Scrivia;006053;-1;0;0;2021/06/24
Castelnuovo Bormida;006052;-1;0;0;2021/06/24
Castelletto Monferrato;006051;-1;1;0.6700000166893005;2021/06/24
Castelletto Merli;006050;-1;0;0;2021/06/24
Castelletto d'Orba;006049;-1;0;0;2021/06/24
Castelletto d'Erro;006048;-1;0;0;2021/06/24
Castellazzo Bormida;006047;-1;1;0.2199999988079071;2021/06/24
Castellar Guidobono;006046;-1;0;0;2021/06/24
Castellania Coppi;006045;-1;0;0;2021/06/24
Cassinelle;006044;-1;0;0;2021/06/24
Cassine;006043;-1;0;0;2021/06/24
Casasco;006041;-1;0;0;2021/06/24
Casalnoceto;006040;-1;0;0;2021/06/24
Casale Monferrato;006039;-1;11;0.33000001311302185;2021/06/24
Casaleggio Boiro;006038;-1;0;0;2021/06/24
Casal Cermelli;006037;-1;0;0;2021/06/24
Cartosio;006036;-1;1;1.3600000143051147;2021/06/24
Carrosio;006035;-1;0;0;2021/06/24
Carrega Ligure;006034;-1;0;0;2021/06/24
Carpeneto;006033;-1;0;0;2021/06/24
Carezzano;006032;-1;0;0;2021/06/24
Carentino;006031;-1;0;0;2021/06/24
