Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/03/02
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/03/02
Arizzano;103003;-1;6;2.9800000190734863;2021/03/02
Arola;103004;-1;0;0;2021/03/02
Aurano;103005;-1;0;0;2021/03/02
Baceno;103006;-1;2;2.2300000190734863;2021/03/02
Bannio Anzino;103007;-1;1;2.0899999141693115;2021/03/02
Baveno;103008;-1;13;2.640000104904175;2021/03/02
Bee;103009;-1;2;2.6500000953674316;2021/03/02
Belgirate;103010;-1;1;1.9900000095367432;2021/03/02
Beura-Cardezza;103011;-1;13;8.859999656677246;2021/03/02
Bognanco;103012;-1;4;21.280000686645508;2021/03/02
Brovello-Carpugnino;103013;-1;7;9.850000381469727;2021/03/02
Calasca-Castiglione;103014;-1;0;0;2021/03/02
Cambiasca;103015;-1;16;9.859999656677246;2021/03/02
Cannero Riviera;103016;-1;1;1.100000023841858;2021/03/02
Cannobio;103017;-1;13;2.5399999618530273;2021/03/02
Caprezzo;103018;-1;0;0;2021/03/02
Casale Corte Cerro;103019;-1;5;1.440000057220459;2021/03/02
Ceppo Morelli;103021;-1;0;0;2021/03/02
Cesara;103022;-1;2;3.369999885559082;2021/03/02
Cossogno;103023;-1;2;2.950000047683716;2021/03/02
Craveggia;103024;-1;8;10.5;2021/03/02
Crevoladossola;103025;-1;61;13.260000228881836;2021/03/02
Crodo;103026;-1;3;2.1500000953674316;2021/03/02
Domodossola;103028;-1;112;6.170000076293945;2021/03/02
Druogno;103029;-1;8;7.519999980926514;2021/03/02
Formazza;103031;-1;0;0;2021/03/02
Germagno;103032;-1;0;0;2021/03/02
Ghiffa;103033;-1;9;3.819999933242798;2021/03/02
Gignese;103034;-1;5;4.769999980926514;2021/03/02
Gravellona Toce;103035;-1;16;2.049999952316284;2021/03/02
Gurro;103036;-1;0;0;2021/03/02
Intragna;103037;-1;0;0;2021/03/02
Loreglia;103038;-1;0;0;2021/03/02
Macugnaga;103039;-1;7;12.920000076293945;2021/03/02
Madonna del Sasso;103040;-1;0;0;2021/03/02
Malesco;103041;-1;24;17.399999618530273;2021/03/02
Masera;103042;-1;20;13.529999732971191;2021/03/02
Massiola;103043;-1;0;0;2021/03/02
Mergozzo;103044;-1;9;4.159999847412109;2021/03/02
Miazzina;103045;-1;6;15.710000038146973;2021/03/02
Montecrestese;103046;-1;16;12.579999923706055;2021/03/02
Montescheno;103047;-1;4;10.199999809265137;2021/03/02
Nonio;103048;-1;2;2.319999933242798;2021/03/02
Oggebbio;103049;-1;4;4.579999923706055;2021/03/02
Omegna;103050;-1;64;4.210000038146973;2021/03/02
Ornavasso;103051;-1;11;3.200000047683716;2021/03/02
Pallanzeno;103052;-1;7;6.099999904632568;2021/03/02
Piedimulera;103053;-1;10;6.570000171661377;2021/03/02
Pieve Vergonte;103054;-1;5;1.9900000095367432;2021/03/02
Premeno;103055;-1;1;1.3700000047683716;2021/03/02
Premia;103056;-1;0;0;2021/03/02
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2021/03/02
Quarna Sopra;103058;-1;2;7.940000057220459;2021/03/02
Quarna Sotto;103059;-1;2;5.190000057220459;2021/03/02
Re;103060;-1;52;70.6500015258789;2021/03/02
San Bernardino Verbano;103061;-1;6;4.550000190734863;2021/03/02
Santa Maria Maggiore;103062;-1;10;7.739999771118164;2021/03/02
Stresa;103064;-1;11;2.259999990463257;2021/03/02
Toceno;103065;-1;5;6.860000133514404;2021/03/02
Trarego Viggiona;103066;-1;1;2.4000000953674316;2021/03/02
Trasquera;103067;-1;1;5.710000038146973;2021/03/02
Trontano;103068;-1;14;8.390000343322754;2021/03/02
Valstrona;103069;-1;1;0.8199999928474426;2021/03/02
Vanzone con San Carlo;103070;-1;3;7.849999904632568;2021/03/02
Varzo;103071;-1;5;2.4800000190734863;2021/03/02
Verbania;103072;-1;157;5.150000095367432;2021/03/02
Vignone;103074;-1;3;2.509999990463257;2021/03/02
Villadossola;103075;-1;42;6.440000057220459;2021/03/02
Villette;103076;-1;4;14.390000343322754;2021/03/02
Vogogna;103077;-1;3;1.7100000381469727;2021/03/02
Borgomezzavalle;103078;-1;0;0;2021/03/02
Valle Cannobina;103079;-1;0;0;2021/03/02
Valdilana;096088;-1;17;1.5700000524520874;2021/03/02
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/03/02
Campiglia Cervo;096086;-1;0;0;2021/03/02
Lessona;096085;-1;32;11.75;2021/03/02
Zumaglia;096083;-1;0;0;2021/03/02
Zubiena;096082;-1;4;3.4800000190734863;2021/03/02
Zimone;096081;-1;0;0;2021/03/02
Viverone;096080;-1;3;2.130000114440918;2021/03/02
Villanova Biellese;096079;-1;0;0;2021/03/02
Villa del Bosco;096078;-1;1;2.990000009536743;2021/03/02
Vigliano Biellese;096077;-1;27;3.5199999809265137;2021/03/02
Verrone;096076;-1;13;10.430000305175781;2021/03/02
Veglio;096075;-1;0;0;2021/03/02
Valle San Nicolao;096074;-1;0;0;2021/03/02
Vallanzengo;096072;-1;0;0;2021/03/02
Valdengo;096071;-1;10;4.059999942779541;2021/03/02
Torrazzo;096069;-1;0;0;2021/03/02
Tollegno;096068;-1;3;1.2300000190734863;2021/03/02
Ternengo;096067;-1;0;0;2021/03/02
Tavigliano;096066;-1;1;1.0800000429153442;2021/03/02
Strona;096065;-1;1;0.9300000071525574;2021/03/02
Sostegno;096064;-1;0;0;2021/03/02
