Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/10/03
Anzola d'Ossola;103002;-1;0;0;2020/10/03
Arizzano;103003;-1;0;0;2020/10/03
Arola;103004;-1;0;0;2020/10/03
Aurano;103005;-1;0;0;2020/10/03
Baceno;103006;-1;0;0;2020/10/03
Bannio Anzino;103007;-1;0;0;2020/10/03
Baveno;103008;-1;0;0;2020/10/03
Bee;103009;-1;0;0;2020/10/03
Belgirate;103010;-1;0;0;2020/10/03
Beura-Cardezza;103011;-1;1;0.6800000071525574;2020/10/03
Bognanco;103012;-1;0;0;2020/10/03
Brovello-Carpugnino;103013;-1;0;0;2020/10/03
Calasca-Castiglione;103014;-1;0;0;2020/10/03
Cambiasca;103015;-1;0;0;2020/10/03
Cannero Riviera;103016;-1;0;0;2020/10/03
Cannobio;103017;-1;0;0;2020/10/03
Caprezzo;103018;-1;0;0;2020/10/03
Casale Corte Cerro;103019;-1;1;0.28999999165534973;2020/10/03
Ceppo Morelli;103021;-1;0;0;2020/10/03
Cesara;103022;-1;0;0;2020/10/03
Cossogno;103023;-1;0;0;2020/10/03
Craveggia;103024;-1;0;0;2020/10/03
Crevoladossola;103025;-1;4;0.8700000047683716;2020/10/03
Crodo;103026;-1;0;0;2020/10/03
Domodossola;103028;-1;0;0;2020/10/03
Druogno;103029;-1;0;0;2020/10/03
Formazza;103031;-1;0;0;2020/10/03
Germagno;103032;-1;0;0;2020/10/03
Ghiffa;103033;-1;1;0.41999998688697815;2020/10/03
Gignese;103034;-1;0;0;2020/10/03
Gravellona Toce;103035;-1;1;0.12999999523162842;2020/10/03
Gurro;103036;-1;0;0;2020/10/03
Intragna;103037;-1;0;0;2020/10/03
Loreglia;103038;-1;0;0;2020/10/03
Macugnaga;103039;-1;0;0;2020/10/03
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/10/03
Malesco;103041;-1;0;0;2020/10/03
Masera;103042;-1;1;0.6800000071525574;2020/10/03
Massiola;103043;-1;0;0;2020/10/03
Mergozzo;103044;-1;0;0;2020/10/03
Miazzina;103045;-1;0;0;2020/10/03
Montecrestese;103046;-1;0;0;2020/10/03
Montescheno;103047;-1;0;0;2020/10/03
Nonio;103048;-1;0;0;2020/10/03
Oggebbio;103049;-1;0;0;2020/10/03
Omegna;103050;-1;18;1.1799999475479126;2020/10/03
Ornavasso;103051;-1;0;0;2020/10/03
Pallanzeno;103052;-1;0;0;2020/10/03
Piedimulera;103053;-1;0;0;2020/10/03
Pieve Vergonte;103054;-1;0;0;2020/10/03
Premeno;103055;-1;0;0;2020/10/03
Premia;103056;-1;0;0;2020/10/03
Premosello-Chiovenda;103057;-1;12;6.179999828338623;2020/10/03
Quarna Sopra;103058;-1;0;0;2020/10/03
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/10/03
Re;103060;-1;0;0;2020/10/03
San Bernardino Verbano;103061;-1;0;0;2020/10/03
Santa Maria Maggiore;103062;-1;0;0;2020/10/03
Stresa;103064;-1;2;0.4099999964237213;2020/10/03
Toceno;103065;-1;0;0;2020/10/03
Trarego Viggiona;103066;-1;0;0;2020/10/03
Trasquera;103067;-1;0;0;2020/10/03
Trontano;103068;-1;0;0;2020/10/03
Valstrona;103069;-1;0;0;2020/10/03
Vanzone con San Carlo;103070;-1;0;0;2020/10/03
Varzo;103071;-1;1;0.5;2020/10/03
Verbania;103072;-1;7;0.23000000417232513;2020/10/03
Vignone;103074;-1;0;0;2020/10/03
Villadossola;103075;-1;1;0.15000000596046448;2020/10/03
Villette;103076;-1;0;0;2020/10/03
Vogogna;103077;-1;10;5.690000057220459;2020/10/03
Borgomezzavalle;103078;-1;0;0;2020/10/03
Valle Cannobina;103079;-1;0;0;2020/10/03
Valdilana;096088;-1;1;0.09000000357627869;2020/10/03
Quaregna Cerreto;096087;-1;0;0;2020/10/03
Campiglia Cervo;096086;-1;2;3.9800000190734863;2020/10/03
Lessona;096085;-1;2;0.7300000190734863;2020/10/03
Zumaglia;096083;-1;0;0;2020/10/03
Zubiena;096082;-1;0;0;2020/10/03
Zimone;096081;-1;0;0;2020/10/03
