Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/04/21
Anzola d'Ossola;103002;-1;10;24.56999969482422;2021/04/21
Arizzano;103003;-1;1;0.5;2021/04/21
Arola;103004;-1;0;0;2021/04/21
Aurano;103005;-1;0;0;2021/04/21
Baceno;103006;-1;1;1.1100000143051147;2021/04/21
Bannio Anzino;103007;-1;4;8.369999885559082;2021/04/21
Baveno;103008;-1;9;1.8300000429153442;2021/04/21
Bee;103009;-1;4;5.300000190734863;2021/04/21
Belgirate;103010;-1;0;0;2021/04/21
Beura-Cardezza;103011;-1;1;0.6800000071525574;2021/04/21
Bognanco;103012;-1;0;0;2021/04/21
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/04/21
Calasca-Castiglione;103014;-1;0;0;2021/04/21
Cambiasca;103015;-1;0;0;2021/04/21
Cannero Riviera;103016;-1;0;0;2021/04/21
Cannobio;103017;-1;14;2.7300000190734863;2021/04/21
Caprezzo;103018;-1;0;0;2021/04/21
Casale Corte Cerro;103019;-1;5;1.440000057220459;2021/04/21
Ceppo Morelli;103021;-1;2;6.730000019073486;2021/04/21
Cesara;103022;-1;1;1.6799999475479126;2021/04/21
Cossogno;103023;-1;0;0;2021/04/21
Craveggia;103024;-1;0;0;2021/04/21
Crevoladossola;103025;-1;15;3.259999990463257;2021/04/21
Crodo;103026;-1;2;1.4299999475479126;2021/04/21
Domodossola;103028;-1;95;5.239999771118164;2021/04/21
Druogno;103029;-1;1;0.9399999976158142;2021/04/21
Formazza;103031;-1;1;2.259999990463257;2021/04/21
Germagno;103032;-1;0;0;2021/04/21
Ghiffa;103033;-1;3;1.2699999809265137;2021/04/21
Gignese;103034;-1;0;0;2021/04/21
Gravellona Toce;103035;-1;11;1.409999966621399;2021/04/21
Gurro;103036;-1;0;0;2021/04/21
Intragna;103037;-1;0;0;2021/04/21
Loreglia;103038;-1;2;8.579999923706055;2021/04/21
Macugnaga;103039;-1;0;0;2021/04/21
Madonna del Sasso;103040;-1;1;2.4700000286102295;2021/04/21
Malesco;103041;-1;1;0.7300000190734863;2021/04/21
Masera;103042;-1;1;0.6800000071525574;2021/04/21
Massiola;103043;-1;0;0;2021/04/21
Mergozzo;103044;-1;1;0.46000000834465027;2021/04/21
Miazzina;103045;-1;0;0;2021/04/21
Montecrestese;103046;-1;2;1.5700000524520874;2021/04/21
Montescheno;103047;-1;0;0;2021/04/21
Nonio;103048;-1;0;0;2021/04/21
Oggebbio;103049;-1;1;1.149999976158142;2021/04/21
Omegna;103050;-1;37;2.440000057220459;2021/04/21
Ornavasso;103051;-1;4;1.159999966621399;2021/04/21
Pallanzeno;103052;-1;11;9.579999923706055;2021/04/21
Piedimulera;103053;-1;11;7.230000019073486;2021/04/21
Pieve Vergonte;103054;-1;6;2.380000114440918;2021/04/21
Premeno;103055;-1;2;2.740000009536743;2021/04/21
Premia;103056;-1;10;18.079999923706055;2021/04/21
Premosello-Chiovenda;103057;-1;1;0.5199999809265137;2021/04/21
Quarna Sopra;103058;-1;0;0;2021/04/21
Quarna Sotto;103059;-1;0;0;2021/04/21
Re;103060;-1;1;1.3600000143051147;2021/04/21
San Bernardino Verbano;103061;-1;4;3.0299999713897705;2021/04/21
Santa Maria Maggiore;103062;-1;3;2.319999933242798;2021/04/21
Stresa;103064;-1;2;0.4099999964237213;2021/04/21
Toceno;103065;-1;1;1.3700000047683716;2021/04/21
Trarego Viggiona;103066;-1;0;0;2021/04/21
Trasquera;103067;-1;2;11.430000305175781;2021/04/21
Trontano;103068;-1;5;3;2021/04/21
Valstrona;103069;-1;2;1.6399999856948853;2021/04/21
Vanzone con San Carlo;103070;-1;0;0;2021/04/21
Varzo;103071;-1;7;3.4700000286102295;2021/04/21
Verbania;103072;-1;51;1.6699999570846558;2021/04/21
Vignone;103074;-1;0;0;2021/04/21
Villadossola;103075;-1;25;3.8299999237060547;2021/04/21
Villette;103076;-1;0;0;2021/04/21
Vogogna;103077;-1;4;2.2799999713897705;2021/04/21
Borgomezzavalle;103078;-1;0;0;2021/04/21
Valle Cannobina;103079;-1;0;0;2021/04/21
Valdilana;096088;-1;41;3.7899999618530273;2021/04/21
Quaregna Cerreto;096087;-1;5;2.450000047683716;2021/04/21
Campiglia Cervo;096086;-1;0;0;2021/04/21
Lessona;096085;-1;14;5.139999866485596;2021/04/21
Zumaglia;096083;-1;2;1.9600000381469727;2021/04/21
Zubiena;096082;-1;11;9.579999923706055;2021/04/21
Zimone;096081;-1;3;7.519999980926514;2021/04/21
Viverone;096080;-1;7;4.960000038146973;2021/04/21
Villanova Biellese;096079;-1;0;0;2021/04/21
Villa del Bosco;096078;-1;2;5.96999979019165;2021/04/21
Vigliano Biellese;096077;-1;23;3;2021/04/21
Verrone;096076;-1;4;3.2100000381469727;2021/04/21
Veglio;096075;-1;1;2.0999999046325684;2021/04/21
Valle San Nicolao;096074;-1;2;2.0999999046325684;2021/04/21
Vallanzengo;096072;-1;0;0;2021/04/21
Valdengo;096071;-1;17;6.909999847412109;2021/04/21
Torrazzo;096069;-1;2;9.800000190734863;2021/04/21
Tollegno;096068;-1;8;3.2699999809265137;2021/04/21
Ternengo;096067;-1;4;14.289999961853027;2021/04/21
Tavigliano;096066;-1;1;1.0800000429153442;2021/04/21
Strona;096065;-1;6;5.610000133514404;2021/04/21
Sostegno;096064;-1;3;3.9000000953674316;2021/04/21
Sordevolo;096063;-1;2;1.4900000095367432;2021/04/21
Sandigliano;096059;-1;9;3.369999885559082;2021/04/21
Salussola;096058;-1;15;7.800000190734863;2021/04/21
Sala Biellese;096057;-1;10;16.889999389648438;2021/04/21
Sagliano Micca;096056;-1;2;1.25;2021/04/21
Rosazza;096055;-1;0;0;2021/04/21
Roppolo;096054;-1;27;30.68000030517578;2021/04/21
Ronco Biellese;096053;-1;4;2.6500000953674316;2021/04/21
Pray;096050;-1;9;4.260000228881836;2021/04/21
Pralungo;096049;-1;10;4.21999979019165;2021/04/21
Portula;096048;-1;0;0;2021/04/21
Ponderano;096047;-1;13;3.440000057220459;2021/04/21
Pollone;096046;-1;6;2.8399999141693115;2021/04/21
Piedicavallo;096044;-1;0;0;2021/04/21
Piatto;096043;-1;2;3.9700000286102295;2021/04/21
Pettinengo;096042;-1;4;2.630000114440918;2021/04/21
Occhieppo Superiore;096041;-1;8;2.9700000286102295;2021/04/21
Occhieppo Inferiore;096040;-1;5;1.2799999713897705;2021/04/21
Netro;096039;-1;0;0;2021/04/21
Muzzano;096038;-1;4;6.659999847412109;2021/04/21
Mottalciata;096037;-1;2;1.4800000190734863;2021/04/21
