Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/10/29
Anzola d'Ossola;103002;-1;0;0;2020/10/29
Arizzano;103003;-1;14;6.960000038146973;2020/10/29
Arola;103004;-1;0;0;2020/10/29
Aurano;103005;-1;0;0;2020/10/29
Baceno;103006;-1;8;8.920000076293945;2020/10/29
Bannio Anzino;103007;-1;0;0;2020/10/29
Baveno;103008;-1;31;6.300000190734863;2020/10/29
Bee;103009;-1;4;5.300000190734863;2020/10/29
Belgirate;103010;-1;4;7.949999809265137;2020/10/29
Beura-Cardezza;103011;-1;8;5.449999809265137;2020/10/29
Bognanco;103012;-1;3;15.960000038146973;2020/10/29
Brovello-Carpugnino;103013;-1;0;0;2020/10/29
Calasca-Castiglione;103014;-1;3;4.909999847412109;2020/10/29
Cambiasca;103015;-1;1;0.6200000047683716;2020/10/29
Cannero Riviera;103016;-1;1;1.100000023841858;2020/10/29
Cannobio;103017;-1;14;2.7300000190734863;2020/10/29
Caprezzo;103018;-1;0;0;2020/10/29
Casale Corte Cerro;103019;-1;10;2.890000104904175;2020/10/29
Ceppo Morelli;103021;-1;0;0;2020/10/29
Cesara;103022;-1;4;6.730000019073486;2020/10/29
Cossogno;103023;-1;3;4.420000076293945;2020/10/29
Craveggia;103024;-1;0;0;2020/10/29
Crevoladossola;103025;-1;35;7.610000133514404;2020/10/29
Crodo;103026;-1;14;10.010000228881836;2020/10/29
Domodossola;103028;-1;83;4.570000171661377;2020/10/29
Druogno;103029;-1;8;7.519999980926514;2020/10/29
Formazza;103031;-1;4;9.050000190734863;2020/10/29
Germagno;103032;-1;0;0;2020/10/29
Ghiffa;103033;-1;3;1.2699999809265137;2020/10/29
Gignese;103034;-1;4;3.819999933242798;2020/10/29
Gravellona Toce;103035;-1;21;2.690000057220459;2020/10/29
Gurro;103036;-1;0;0;2020/10/29
Intragna;103037;-1;0;0;2020/10/29
Loreglia;103038;-1;0;0;2020/10/29
Macugnaga;103039;-1;6;11.069999694824219;2020/10/29
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/10/29
Malesco;103041;-1;2;1.4500000476837158;2020/10/29
Masera;103042;-1;4;2.7100000381469727;2020/10/29
Massiola;103043;-1;0;0;2020/10/29
Mergozzo;103044;-1;6;2.7699999809265137;2020/10/29
Miazzina;103045;-1;0;0;2020/10/29
Montecrestese;103046;-1;3;2.359999895095825;2020/10/29
Montescheno;103047;-1;1;2.549999952316284;2020/10/29
Nonio;103048;-1;2;2.319999933242798;2020/10/29
Oggebbio;103049;-1;1;1.149999976158142;2020/10/29
Omegna;103050;-1;50;3.2899999618530273;2020/10/29
Ornavasso;103051;-1;5;1.4600000381469727;2020/10/29
Pallanzeno;103052;-1;3;2.609999895095825;2020/10/29
Piedimulera;103053;-1;4;2.630000114440918;2020/10/29
