Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2020/10/31
Anzola d'Ossola;103002;-1;0;0;2020/10/31
Arizzano;103003;-1;15;7.460000038146973;2020/10/31
Arola;103004;-1;0;0;2020/10/31
Aurano;103005;-1;0;0;2020/10/31
Baceno;103006;-1;12;13.380000114440918;2020/10/31
Bannio Anzino;103007;-1;0;0;2020/10/31
Baveno;103008;-1;29;5.900000095367432;2020/10/31
Bee;103009;-1;4;5.300000190734863;2020/10/31
Belgirate;103010;-1;4;7.949999809265137;2020/10/31
Beura-Cardezza;103011;-1;11;7.489999771118164;2020/10/31
Bognanco;103012;-1;4;21.280000686645508;2020/10/31
Brovello-Carpugnino;103013;-1;0;0;2020/10/31
Calasca-Castiglione;103014;-1;3;4.909999847412109;2020/10/31
Cambiasca;103015;-1;2;1.2300000190734863;2020/10/31
Cannero Riviera;103016;-1;1;1.100000023841858;2020/10/31
Cannobio;103017;-1;17;3.319999933242798;2020/10/31
Caprezzo;103018;-1;0;0;2020/10/31
Casale Corte Cerro;103019;-1;11;3.1700000762939453;2020/10/31
Ceppo Morelli;103021;-1;0;0;2020/10/31
Cesara;103022;-1;4;6.730000019073486;2020/10/31
Cossogno;103023;-1;4;5.889999866485596;2020/10/31
Craveggia;103024;-1;2;2.619999885559082;2020/10/31
Crevoladossola;103025;-1;40;8.699999809265137;2020/10/31
Crodo;103026;-1;14;10.010000228881836;2020/10/31
Domodossola;103028;-1;106;5.840000152587891;2020/10/31
Druogno;103029;-1;9;8.460000038146973;2020/10/31
Formazza;103031;-1;4;9.050000190734863;2020/10/31
Germagno;103032;-1;0;0;2020/10/31
Ghiffa;103033;-1;2;0.8500000238418579;2020/10/31
Gignese;103034;-1;4;3.819999933242798;2020/10/31
Gravellona Toce;103035;-1;26;3.3299999237060547;2020/10/31
Gurro;103036;-1;0;0;2020/10/31
Intragna;103037;-1;0;0;2020/10/31
Loreglia;103038;-1;0;0;2020/10/31
Macugnaga;103039;-1;7;12.920000076293945;2020/10/31
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/10/31
Malesco;103041;-1;4;2.9000000953674316;2020/10/31
Masera;103042;-1;5;3.380000114440918;2020/10/31
Massiola;103043;-1;1;7.940000057220459;2020/10/31
Mergozzo;103044;-1;10;4.619999885559082;2020/10/31
Miazzina;103045;-1;0;0;2020/10/31
Montecrestese;103046;-1;4;3.140000104904175;2020/10/31
Montescheno;103047;-1;1;2.549999952316284;2020/10/31
Nonio;103048;-1;3;3.4800000190734863;2020/10/31
Oggebbio;103049;-1;1;1.149999976158142;2020/10/31
Omegna;103050;-1;34;2.240000009536743;2020/10/31
Ornavasso;103051;-1;7;2.0399999618530273;2020/10/31
Pallanzeno;103052;-1;4;3.4800000190734863;2020/10/31
Piedimulera;103053;-1;4;2.630000114440918;2020/10/31
Pieve Vergonte;103054;-1;14;5.559999942779541;2020/10/31
Premeno;103055;-1;0;0;2020/10/31
Premia;103056;-1;4;7.230000019073486;2020/10/31
Premosello-Chiovenda;103057;-1;3;1.5499999523162842;2020/10/31
Quarna Sopra;103058;-1;1;3.9700000286102295;2020/10/31
Quarna Sotto;103059;-1;0;0;2020/10/31
Re;103060;-1;4;5.429999828338623;2020/10/31
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2020/10/31
Santa Maria Maggiore;103062;-1;3;2.319999933242798;2020/10/31
Stresa;103064;-1;7;1.440000057220459;2020/10/31
Toceno;103065;-1;4;5.489999771118164;2020/10/31
Trarego Viggiona;103066;-1;1;2.4000000953674316;2020/10/31
Trasquera;103067;-1;0;0;2020/10/31
Trontano;103068;-1;11;6.590000152587891;2020/10/31
Valstrona;103069;-1;1;0.8199999928474426;2020/10/31
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/10/31
Varzo;103071;-1;15;7.440000057220459;2020/10/31
Verbania;103072;-1;169;5.539999961853027;2020/10/31
Vignone;103074;-1;5;4.179999828338623;2020/10/31
