Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;5;11.930000305175781;2020/11/26
Anzola d'Ossola;103002;-1;3;7.369999885559082;2020/11/26
Arizzano;103003;-1;28;13.920000076293945;2020/11/26
Arola;103004;-1;0;0;2020/11/26
Aurano;103005;-1;1;9.710000038146973;2020/11/26
Baceno;103006;-1;12;13.380000114440918;2020/11/26
Bannio Anzino;103007;-1;9;18.829999923706055;2020/11/26
Baveno;103008;-1;51;10.369999885559082;2020/11/26
Bee;103009;-1;7;9.270000457763672;2020/11/26
Belgirate;103010;-1;2;3.9800000190734863;2020/11/26
Beura-Cardezza;103011;-1;16;10.899999618530273;2020/11/26
Bognanco;103012;-1;3;15.960000038146973;2020/11/26
Brovello-Carpugnino;103013;-1;6;8.4399995803833;2020/11/26
Calasca-Castiglione;103014;-1;17;27.81999969482422;2020/11/26
Cambiasca;103015;-1;29;17.8700008392334;2020/11/26
Cannero Riviera;103016;-1;8;8.789999961853027;2020/11/26
Cannobio;103017;-1;43;8.399999618530273;2020/11/26
Caprezzo;103018;-1;2;11.829999923706055;2020/11/26
Casale Corte Cerro;103019;-1;32;9.229999542236328;2020/11/26
Ceppo Morelli;103021;-1;8;26.940000534057617;2020/11/26
Cesara;103022;-1;20;33.66999816894531;2020/11/26
Cossogno;103023;-1;7;10.3100004196167;2020/11/26
Craveggia;103024;-1;6;7.869999885559082;2020/11/26
Crevoladossola;103025;-1;55;11.960000038146973;2020/11/26
Crodo;103026;-1;21;15.020000457763672;2020/11/26
Domodossola;103028;-1;280;15.430000305175781;2020/11/26
Druogno;103029;-1;13;12.220000267028809;2020/11/26
Formazza;103031;-1;3;6.789999961853027;2020/11/26
Germagno;103032;-1;1;5.260000228881836;2020/11/26
Ghiffa;103033;-1;22;9.350000381469727;2020/11/26
Gignese;103034;-1;1;0.949999988079071;2020/11/26
Gravellona Toce;103035;-1;77;9.859999656677246;2020/11/26
Gurro;103036;-1;2;10.050000190734863;2020/11/26
Intragna;103037;-1;0;0;2020/11/26
Loreglia;103038;-1;3;12.880000114440918;2020/11/26
Macugnaga;103039;-1;4;7.380000114440918;2020/11/26
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/11/26
Malesco;103041;-1;10;7.25;2020/11/26
Masera;103042;-1;19;12.859999656677246;2020/11/26
Massiola;103043;-1;1;7.940000057220459;2020/11/26
Mergozzo;103044;-1;28;12.930000305175781;2020/11/26
Miazzina;103045;-1;3;7.849999904632568;2020/11/26
Montecrestese;103046;-1;29;22.799999237060547;2020/11/26
Montescheno;103047;-1;3;7.650000095367432;2020/11/26
Nonio;103048;-1;9;10.449999809265137;2020/11/26
Oggebbio;103049;-1;13;14.890000343322754;2020/11/26
Omegna;103050;-1;148;9.739999771118164;2020/11/26
Ornavasso;103051;-1;25;7.28000020980835;2020/11/26
Pallanzeno;103052;-1;18;15.680000305175781;2020/11/26
Piedimulera;103053;-1;18;11.829999923706055;2020/11/26
Pieve Vergonte;103054;-1;41;16.280000686645508;2020/11/26
Premeno;103055;-1;11;15.069999694824219;2020/11/26
Premia;103056;-1;3;5.420000076293945;2020/11/26
Premosello-Chiovenda;103057;-1;31;15.970000267028809;2020/11/26
Quarna Sopra;103058;-1;2;7.940000057220459;2020/11/26
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/11/26
Re;103060;-1;24;32.61000061035156;2020/11/26
San Bernardino Verbano;103061;-1;8;6.070000171661377;2020/11/26
Santa Maria Maggiore;103062;-1;13;10.0600004196167;2020/11/26
Stresa;103064;-1;38;7.800000190734863;2020/11/26
Toceno;103065;-1;4;5.489999771118164;2020/11/26
Trarego Viggiona;103066;-1;5;11.989999771118164;2020/11/26
Trasquera;103067;-1;6;34.290000915527344;2020/11/26
Trontano;103068;-1;22;13.180000305175781;2020/11/26
Valstrona;103069;-1;21;17.270000457763672;2020/11/26
Vanzone con San Carlo;103070;-1;8;20.940000534057617;2020/11/26
Varzo;103071;-1;39;19.34000015258789;2020/11/26
Verbania;103072;-1;342;11.210000038146973;2020/11/26
Vignone;103074;-1;14;11.720000267028809;2020/11/26
Villadossola;103075;-1;106;16.25;2020/11/26
Villette;103076;-1;7;25.18000030517578;2020/11/26
Vogogna;103077;-1;20;11.390000343322754;2020/11/26
Borgomezzavalle;103078;-1;6;19.049999237060547;2020/11/26
Valle Cannobina;103079;-1;2;4.119999885559082;2020/11/26
Valdilana;096088;-1;93;8.59000015258789;2020/11/26
Quaregna Cerreto;096087;-1;20;9.800000190734863;2020/11/26
Campiglia Cervo;096086;-1;1;1.9900000095367432;2020/11/26
Lessona;096085;-1;44;16.149999618530273;2020/11/26
Zumaglia;096083;-1;7;6.860000133514404;2020/11/26
Zubiena;096082;-1;11;9.579999923706055;2020/11/26
Zimone;096081;-1;1;2.509999990463257;2020/11/26
Viverone;096080;-1;9;6.380000114440918;2020/11/26
Villanova Biellese;096079;-1;0;0;2020/11/26
Villa del Bosco;096078;-1;3;8.960000038146973;2020/11/26
Vigliano Biellese;096077;-1;92;12;2020/11/26
Verrone;096076;-1;17;13.630000114440918;2020/11/26
Veglio;096075;-1;7;14.680000305175781;2020/11/26
Valle San Nicolao;096074;-1;7;7.360000133514404;2020/11/26
Vallanzengo;096072;-1;6;27.780000686645508;2020/11/26
Valdengo;096071;-1;29;11.779999732971191;2020/11/26
Torrazzo;096069;-1;4;19.610000610351562;2020/11/26
Tollegno;096068;-1;33;13.489999771118164;2020/11/26
Ternengo;096067;-1;3;10.710000038146973;2020/11/26
Tavigliano;096066;-1;10;10.789999961853027;2020/11/26
Strona;096065;-1;12;11.210000038146973;2020/11/26
Sostegno;096064;-1;17;22.110000610351562;2020/11/26
Sordevolo;096063;-1;11;8.199999809265137;2020/11/26
Sandigliano;096059;-1;33;12.359999656677246;2020/11/26
Salussola;096058;-1;17;8.84000015258789;2020/11/26
Sala Biellese;096057;-1;5;8.449999809265137;2020/11/26
Sagliano Micca;096056;-1;12;7.480000019073486;2020/11/26
Rosazza;096055;-1;0;0;2020/11/26
