Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/07/14
Anzola d'Ossola;103002;-1;0;0;2021/07/14
Arizzano;103003;-1;0;0;2021/07/14
Arola;103004;-1;0;0;2021/07/14
Aurano;103005;-1;0;0;2021/07/14
Baceno;103006;-1;0;0;2021/07/14
Bannio Anzino;103007;-1;1;2.0899999141693115;2021/07/14
Baveno;103008;-1;1;0.20000000298023224;2021/07/14
Bee;103009;-1;0;0;2021/07/14
Belgirate;103010;-1;0;0;2021/07/14
Beura-Cardezza;103011;-1;0;0;2021/07/14
Bognanco;103012;-1;0;0;2021/07/14
Brovello-Carpugnino;103013;-1;0;0;2021/07/14
Calasca-Castiglione;103014;-1;0;0;2021/07/14
Cambiasca;103015;-1;0;0;2021/07/14
Cannero Riviera;103016;-1;0;0;2021/07/14
Cannobio;103017;-1;1;0.20000000298023224;2021/07/14
Caprezzo;103018;-1;0;0;2021/07/14
Casale Corte Cerro;103019;-1;0;0;2021/07/14
Ceppo Morelli;103021;-1;0;0;2021/07/14
Cesara;103022;-1;0;0;2021/07/14
Cossogno;103023;-1;0;0;2021/07/14
Craveggia;103024;-1;0;0;2021/07/14
Crevoladossola;103025;-1;1;0.2199999988079071;2021/07/14
Crodo;103026;-1;1;0.7200000286102295;2021/07/14
Domodossola;103028;-1;0;0;2021/07/14
Druogno;103029;-1;0;0;2021/07/14
Formazza;103031;-1;0;0;2021/07/14
Germagno;103032;-1;0;0;2021/07/14
Ghiffa;103033;-1;1;0.41999998688697815;2021/07/14
Gignese;103034;-1;0;0;2021/07/14
Gravellona Toce;103035;-1;1;0.12999999523162842;2021/07/14
Gurro;103036;-1;0;0;2021/07/14
Intragna;103037;-1;0;0;2021/07/14
Loreglia;103038;-1;0;0;2021/07/14
Macugnaga;103039;-1;0;0;2021/07/14
Madonna del Sasso;103040;-1;0;0;2021/07/14
Malesco;103041;-1;0;0;2021/07/14
Masera;103042;-1;1;0.6800000071525574;2021/07/14
Massiola;103043;-1;0;0;2021/07/14
Mergozzo;103044;-1;0;0;2021/07/14
Miazzina;103045;-1;0;0;2021/07/14
Montecrestese;103046;-1;0;0;2021/07/14
Montescheno;103047;-1;0;0;2021/07/14
Nonio;103048;-1;0;0;2021/07/14
Oggebbio;103049;-1;1;1.149999976158142;2021/07/14
Omegna;103050;-1;1;0.07000000029802322;2021/07/14
Ornavasso;103051;-1;0;0;2021/07/14
Pallanzeno;103052;-1;0;0;2021/07/14
Piedimulera;103053;-1;0;0;2021/07/14
Pieve Vergonte;103054;-1;0;0;2021/07/14
Premeno;103055;-1;0;0;2021/07/14
Premia;103056;-1;0;0;2021/07/14
Premosello-Chiovenda;103057;-1;1;0.5199999809265137;2021/07/14
Quarna Sopra;103058;-1;0;0;2021/07/14
Quarna Sotto;103059;-1;0;0;2021/07/14
Re;103060;-1;0;0;2021/07/14
San Bernardino Verbano;103061;-1;0;0;2021/07/14
Santa Maria Maggiore;103062;-1;0;0;2021/07/14
Stresa;103064;-1;0;0;2021/07/14
Toceno;103065;-1;0;0;2021/07/14
Trarego Viggiona;103066;-1;0;0;2021/07/14
Trasquera;103067;-1;0;0;2021/07/14
Trontano;103068;-1;3;1.7999999523162842;2021/07/14
Valstrona;103069;-1;0;0;2021/07/14
Vanzone con San Carlo;103070;-1;0;0;2021/07/14
Varzo;103071;-1;0;0;2021/07/14
Verbania;103072;-1;4;0.12999999523162842;2021/07/14
Vignone;103074;-1;0;0;2021/07/14
Villadossola;103075;-1;6;0.9200000166893005;2021/07/14
Villette;103076;-1;0;0;2021/07/14
Vogogna;103077;-1;0;0;2021/07/14
Borgomezzavalle;103078;-1;0;0;2021/07/14
Valle Cannobina;103079;-1;0;0;2021/07/14
Valdilana;096088;-1;6;0.550000011920929;2021/07/14
Quaregna Cerreto;096087;-1;0;0;2021/07/14
Campiglia Cervo;096086;-1;0;0;2021/07/14
Lessona;096085;-1;0;0;2021/07/14
Zumaglia;096083;-1;0;0;2021/07/14
Zubiena;096082;-1;0;0;2021/07/14
Zimone;096081;-1;0;0;2021/07/14
Viverone;096080;-1;0;0;2021/07/14
Villanova Biellese;096079;-1;0;0;2021/07/14
Villa del Bosco;096078;-1;0;0;2021/07/14
Vigliano Biellese;096077;-1;0;0;2021/07/14
Verrone;096076;-1;0;0;2021/07/14
Veglio;096075;-1;0;0;2021/07/14
Valle San Nicolao;096074;-1;0;0;2021/07/14
Vallanzengo;096072;-1;0;0;2021/07/14
Valdengo;096071;-1;2;0.8100000023841858;2021/07/14
Torrazzo;096069;-1;0;0;2021/07/14
Tollegno;096068;-1;2;0.8199999928474426;2021/07/14
Ternengo;096067;-1;0;0;2021/07/14
Tavigliano;096066;-1;0;0;2021/07/14
Strona;096065;-1;0;0;2021/07/14
Sostegno;096064;-1;0;0;2021/07/14
Sordevolo;096063;-1;0;0;2021/07/14
Sandigliano;096059;-1;0;0;2021/07/14
Salussola;096058;-1;0;0;2021/07/14
Sala Biellese;096057;-1;0;0;2021/07/14
Sagliano Micca;096056;-1;0;0;2021/07/14
Rosazza;096055;-1;0;0;2021/07/14
Roppolo;096054;-1;1;1.1399999856948853;2021/07/14
Ronco Biellese;096053;-1;0;0;2021/07/14
Pray;096050;-1;1;0.4699999988079071;2021/07/14
Pralungo;096049;-1;1;0.41999998688697815;2021/07/14
Portula;096048;-1;0;0;2021/07/14
Ponderano;096047;-1;1;0.25999999046325684;2021/07/14
Pollone;096046;-1;0;0;2021/07/14
Piedicavallo;096044;-1;0;0;2021/07/14
Piatto;096043;-1;0;0;2021/07/14
Pettinengo;096042;-1;1;0.6600000262260437;2021/07/14
Occhieppo Superiore;096041;-1;0;0;2021/07/14
Occhieppo Inferiore;096040;-1;1;0.25999999046325684;2021/07/14
Netro;096039;-1;0;0;2021/07/14
Muzzano;096038;-1;0;0;2021/07/14
Mottalciata;096037;-1;0;0;2021/07/14
Mongrando;096035;-1;1;0.25999999046325684;2021/07/14
Miagliano;096034;-1;0;0;2021/07/14
Mezzana Mortigliengo;096033;-1;1;2;2021/07/14
Masserano;096032;-1;0;0;2021/07/14
Massazza;096031;-1;0;0;2021/07/14
Magnano;096030;-1;0;0;2021/07/14
Graglia;096028;-1;0;0;2021/07/14
Gifflenga;096027;-1;0;0;2021/07/14
Gaglianico;096026;-1;4;1.0700000524520874;2021/07/14
Dorzano;096025;-1;0;0;2021/07/14
Donato;096024;-1;0;0;2021/07/14
Curino;096023;-1;0;0;2021/07/14
Crevacuore;096021;-1;0;0;2021/07/14
Cossato;096020;-1;6;0.4099999964237213;2021/07/14
Coggiola;096019;-1;2;1.1100000143051147;2021/07/14
Cerrione;096018;-1;0;0;2021/07/14
Cavaglià;096016;-1;1;0.2800000011920929;2021/07/14
Castelletto Cervo;096015;-1;0;0;2021/07/14
Casapinta;096014;-1;0;0;2021/07/14
Caprile;096013;-1;0;0;2021/07/14
Candelo;096012;-1;4;0.5299999713897705;2021/07/14
Camburzano;096010;-1;1;0.8700000047683716;2021/07/14
Camandona;096009;-1;0;0;2021/07/14
Callabiana;096008;-1;0;0;2021/07/14
Brusnengo;096007;-1;0;0;2021/07/14
Borriana;096006;-1;0;0;2021/07/14
Bioglio;096005;-1;0;0;2021/07/14
Biella;096004;-1;21;0.47999998927116394;2021/07/14
Benna;096003;-1;0;0;2021/07/14
Andorno Micca;096002;-1;0;0;2021/07/14
Ailoche;096001;-1;0;0;2021/07/14
Lu e Cuccaro Monferrato;006193;-1;0;0;2021/07/14
Alluvioni Piovera;006192;-1;0;0;2021/07/14
Cassano Spinola;006191;-1;0;0;2021/07/14
Voltaggio;006190;-1;0;0;2021/07/14
Volpeglino;006189;-1;0;0;2021/07/14
Volpedo;006188;-1;0;0;2021/07/14
Visone;006187;-1;0;0;2021/07/14
Villaromagnano;006186;-1;0;0;2021/07/14
Villanova Monferrato;006185;-1;0;0;2021/07/14
Villamiroglio;006184;-1;0;0;2021/07/14
Villalvernia;006183;-1;0;0;2021/07/14
Villadeati;006182;-1;0;0;2021/07/14
Viguzzolo;006181;-1;3;0.9700000286102295;2021/07/14
Vignole Borbera;006180;-1;0;0;2021/07/14
Vignale Monferrato;006179;-1;0;0;2021/07/14
Valmacca;006178;-1;0;0;2021/07/14
Valenza;006177;-1;4;0.20999999344348907;2021/07/14
Trisobbio;006176;-1;0;0;2021/07/14
Treville;006175;-1;0;0;2021/07/14
Tortona;006174;-1;10;0.3700000047683716;2021/07/14
Ticineto;006173;-1;0;0;2021/07/14
Terzo;006172;-1;0;0;2021/07/14
Terruggia;006171;-1;0;0;2021/07/14
Tassarolo;006170;-1;0;0;2021/07/14
Tagliolo Monferrato;006169;-1;0;0;2021/07/14
Strevi;006168;-1;0;0;2021/07/14
Stazzano;006167;-1;0;0;2021/07/14
Spineto Scrivia;006166;-1;0;0;2021/07/14
Spigno Monferrato;006165;-1;0;0;2021/07/14
Solonghello;006164;-1;0;0;2021/07/14
Solero;006163;-1;0;0;2021/07/14
Silvano d'Orba;006162;-1;0;0;2021/07/14
Sezzadio;006161;-1;0;0;2021/07/14
Serravalle Scrivia;006160;-1;1;0.17000000178813934;2021/07/14
Serralunga di Crea;006159;-1;0;0;2021/07/14
Sarezzano;006158;-1;0;0;2021/07/14
Sardigliano;006157;-1;0;0;2021/07/14
Sant'Agata Fossili;006156;-1;0;0;2021/07/14
