Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2021/02/05
Anzola d'Ossola;103002;-1;0;0;2021/02/05
Arizzano;103003;-1;6;2.9800000190734863;2021/02/05
Arola;103004;-1;1;4.119999885559082;2021/02/05
Aurano;103005;-1;0;0;2021/02/05
Baceno;103006;-1;6;6.690000057220459;2021/02/05
Bannio Anzino;103007;-1;1;2.0899999141693115;2021/02/05
Baveno;103008;-1;11;2.240000009536743;2021/02/05
Bee;103009;-1;1;1.3200000524520874;2021/02/05
Belgirate;103010;-1;1;1.9900000095367432;2021/02/05
Beura-Cardezza;103011;-1;3;2.0399999618530273;2021/02/05
Bognanco;103012;-1;0;0;2021/02/05
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/02/05
Calasca-Castiglione;103014;-1;0;0;2021/02/05
Cambiasca;103015;-1;6;3.700000047683716;2021/02/05
Cannero Riviera;103016;-1;0;0;2021/02/05
Cannobio;103017;-1;12;2.3399999141693115;2021/02/05
Caprezzo;103018;-1;1;5.920000076293945;2021/02/05
Casale Corte Cerro;103019;-1;17;4.900000095367432;2021/02/05
Ceppo Morelli;103021;-1;0;0;2021/02/05
Cesara;103022;-1;0;0;2021/02/05
Cossogno;103023;-1;1;1.4700000286102295;2021/02/05
Craveggia;103024;-1;0;0;2021/02/05
Crevoladossola;103025;-1;24;5.21999979019165;2021/02/05
Crodo;103026;-1;1;0.7200000286102295;2021/02/05
Domodossola;103028;-1;44;2.4200000762939453;2021/02/05
Druogno;103029;-1;1;0.9399999976158142;2021/02/05
Formazza;103031;-1;0;0;2021/02/05
Germagno;103032;-1;2;10.529999732971191;2021/02/05
Ghiffa;103033;-1;8;3.4000000953674316;2021/02/05
Gignese;103034;-1;0;0;2021/02/05
Gravellona Toce;103035;-1;20;2.559999942779541;2021/02/05
Gurro;103036;-1;0;0;2021/02/05
Intragna;103037;-1;0;0;2021/02/05
Loreglia;103038;-1;1;4.289999961853027;2021/02/05
Macugnaga;103039;-1;0;0;2021/02/05
Madonna del Sasso;103040;-1;0;0;2021/02/05
Malesco;103041;-1;0;0;2021/02/05
Masera;103042;-1;4;2.7100000381469727;2021/02/05
Massiola;103043;-1;1;7.940000057220459;2021/02/05
Mergozzo;103044;-1;11;5.079999923706055;2021/02/05
Miazzina;103045;-1;4;10.470000267028809;2021/02/05
Montecrestese;103046;-1;1;0.7900000214576721;2021/02/05
Montescheno;103047;-1;0;0;2021/02/05
Nonio;103048;-1;2;2.319999933242798;2021/02/05
Oggebbio;103049;-1;1;1.149999976158142;2021/02/05
Omegna;103050;-1;61;4.019999980926514;2021/02/05
Ornavasso;103051;-1;3;0.8700000047683716;2021/02/05
Pallanzeno;103052;-1;5;4.360000133514404;2021/02/05
Piedimulera;103053;-1;4;2.630000114440918;2021/02/05
Pieve Vergonte;103054;-1;7;2.7799999713897705;2021/02/05
Premeno;103055;-1;0;0;2021/02/05
Premia;103056;-1;0;0;2021/02/05
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2021/02/05
Quarna Sopra;103058;-1;0;0;2021/02/05
Quarna Sotto;103059;-1;0;0;2021/02/05
Re;103060;-1;2;2.7200000286102295;2021/02/05
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2021/02/05
