Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2020/10/09
Anzola d'Ossola;103002;-1;0;0;2020/10/09
Arizzano;103003;-1;1;0.5;2020/10/09
Arola;103004;-1;0;0;2020/10/09
Aurano;103005;-1;0;0;2020/10/09
Baceno;103006;-1;0;0;2020/10/09
Bannio Anzino;103007;-1;0;0;2020/10/09
Baveno;103008;-1;0;0;2020/10/09
Bee;103009;-1;0;0;2020/10/09
Belgirate;103010;-1;0;0;2020/10/09
Beura-Cardezza;103011;-1;1;0.6800000071525574;2020/10/09
Bognanco;103012;-1;0;0;2020/10/09
Brovello-Carpugnino;103013;-1;0;0;2020/10/09
Calasca-Castiglione;103014;-1;0;0;2020/10/09
Cambiasca;103015;-1;0;0;2020/10/09
Cannero Riviera;103016;-1;0;0;2020/10/09
Cannobio;103017;-1;0;0;2020/10/09
Caprezzo;103018;-1;0;0;2020/10/09
Casale Corte Cerro;103019;-1;1;0.28999999165534973;2020/10/09
Ceppo Morelli;103021;-1;0;0;2020/10/09
Cesara;103022;-1;0;0;2020/10/09
Cossogno;103023;-1;0;0;2020/10/09
Craveggia;103024;-1;0;0;2020/10/09
Crevoladossola;103025;-1;7;1.5199999809265137;2020/10/09
Crodo;103026;-1;0;0;2020/10/09
Domodossola;103028;-1;2;0.10999999940395355;2020/10/09
Druogno;103029;-1;0;0;2020/10/09
Formazza;103031;-1;0;0;2020/10/09
Germagno;103032;-1;0;0;2020/10/09
Ghiffa;103033;-1;1;0.41999998688697815;2020/10/09
Gignese;103034;-1;0;0;2020/10/09
Gravellona Toce;103035;-1;0;0;2020/10/09
Gurro;103036;-1;0;0;2020/10/09
Intragna;103037;-1;0;0;2020/10/09
Loreglia;103038;-1;0;0;2020/10/09
Macugnaga;103039;-1;0;0;2020/10/09
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/10/09
Malesco;103041;-1;0;0;2020/10/09
Masera;103042;-1;2;1.350000023841858;2020/10/09
Massiola;103043;-1;0;0;2020/10/09
Mergozzo;103044;-1;0;0;2020/10/09
Miazzina;103045;-1;0;0;2020/10/09
Montecrestese;103046;-1;2;1.5700000524520874;2020/10/09
Montescheno;103047;-1;0;0;2020/10/09
Nonio;103048;-1;0;0;2020/10/09
Oggebbio;103049;-1;0;0;2020/10/09
Omegna;103050;-1;18;1.1799999475479126;2020/10/09
Ornavasso;103051;-1;0;0;2020/10/09
Pallanzeno;103052;-1;0;0;2020/10/09
Piedimulera;103053;-1;0;0;2020/10/09
Pieve Vergonte;103054;-1;0;0;2020/10/09
Premeno;103055;-1;0;0;2020/10/09
Premia;103056;-1;0;0;2020/10/09
Premosello-Chiovenda;103057;-1;13;6.699999809265137;2020/10/09
Quarna Sopra;103058;-1;0;0;2020/10/09
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/10/09
Re;103060;-1;0;0;2020/10/09
San Bernardino Verbano;103061;-1;0;0;2020/10/09
Santa Maria Maggiore;103062;-1;0;0;2020/10/09
Stresa;103064;-1;0;0;2020/10/09
Toceno;103065;-1;0;0;2020/10/09
Trarego Viggiona;103066;-1;0;0;2020/10/09
Trasquera;103067;-1;0;0;2020/10/09
Trontano;103068;-1;0;0;2020/10/09
Valstrona;103069;-1;0;0;2020/10/09
Vanzone con San Carlo;103070;-1;0;0;2020/10/09
Varzo;103071;-1;1;0.5;2020/10/09
Verbania;103072;-1;11;0.36000001430511475;2020/10/09
Vignone;103074;-1;0;0;2020/10/09
Villadossola;103075;-1;1;0.15000000596046448;2020/10/09
Villette;103076;-1;0;0;2020/10/09
Vogogna;103077;-1;10;5.690000057220459;2020/10/09
Borgomezzavalle;103078;-1;0;0;2020/10/09
Valle Cannobina;103079;-1;0;0;2020/10/09
Valdilana;096088;-1;2;0.18000000715255737;2020/10/09
Quaregna Cerreto;096087;-1;0;0;2020/10/09
Campiglia Cervo;096086;-1;0;0;2020/10/09
Lessona;096085;-1;0;0;2020/10/09
Zumaglia;096083;-1;0;0;2020/10/09
Zubiena;096082;-1;0;0;2020/10/09
Zimone;096081;-1;0;0;2020/10/09
Viverone;096080;-1;0;0;2020/10/09
Villanova Biellese;096079;-1;0;0;2020/10/09
Villa del Bosco;096078;-1;0;0;2020/10/09
Vigliano Biellese;096077;-1;8;1.0399999618530273;2020/10/09
Verrone;096076;-1;0;0;2020/10/09
Veglio;096075;-1;0;0;2020/10/09
Valle San Nicolao;096074;-1;1;1.0499999523162842;2020/10/09
Vallanzengo;096072;-1;0;0;2020/10/09
Valdengo;096071;-1;0;0;2020/10/09
Torrazzo;096069;-1;0;0;2020/10/09
Tollegno;096068;-1;1;0.4099999964237213;2020/10/09
Ternengo;096067;-1;0;0;2020/10/09
Tavigliano;096066;-1;0;0;2020/10/09
Strona;096065;-1;0;0;2020/10/09
Sostegno;096064;-1;0;0;2020/10/09
Sordevolo;096063;-1;51;38;2020/10/09
Sandigliano;096059;-1;0;0;2020/10/09
Salussola;096058;-1;0;0;2020/10/09
Sala Biellese;096057;-1;0;0;2020/10/09
Sagliano Micca;096056;-1;0;0;2020/10/09
Rosazza;096055;-1;0;0;2020/10/09
Roppolo;096054;-1;0;0;2020/10/09
Ronco Biellese;096053;-1;0;0;2020/10/09
Pray;096050;-1;0;0;2020/10/09
Pralungo;096049;-1;1;0.41999998688697815;2020/10/09
Portula;096048;-1;0;0;2020/10/09
Ponderano;096047;-1;1;0.25999999046325684;2020/10/09
Pollone;096046;-1;2;0.949999988079071;2020/10/09
Piedicavallo;096044;-1;0;0;2020/10/09
Piatto;096043;-1;0;0;2020/10/09
Pettinengo;096042;-1;1;0.6600000262260437;2020/10/09
Occhieppo Superiore;096041;-1;4;1.4900000095367432;2020/10/09
Occhieppo Inferiore;096040;-1;3;0.7699999809265137;2020/10/09
Netro;096039;-1;0;0;2020/10/09
Muzzano;096038;-1;1;1.659999966621399;2020/10/09
Mottalciata;096037;-1;0;0;2020/10/09
Mongrando;096035;-1;1;0.25999999046325684;2020/10/09
Miagliano;096034;-1;0;0;2020/10/09
Mezzana Mortigliengo;096033;-1;0;0;2020/10/09
Masserano;096032;-1;0;0;2020/10/09
Massazza;096031;-1;0;0;2020/10/09
Magnano;096030;-1;0;0;2020/10/09
Graglia;096028;-1;0;0;2020/10/09
Gifflenga;096027;-1;0;0;2020/10/09
Gaglianico;096026;-1;2;0.5400000214576721;2020/10/09
Dorzano;096025;-1;0;0;2020/10/09
Donato;096024;-1;2;2.7799999713897705;2020/10/09
Curino;096023;-1;0;0;2020/10/09
Crevacuore;096021;-1;0;0;2020/10/09
Cossato;096020;-1;2;0.14000000059604645;2020/10/09
Coggiola;096019;-1;0;0;2020/10/09
Cerrione;096018;-1;1;0.3499999940395355;2020/10/09
Cavaglià;096016;-1;0;0;2020/10/09
Castelletto Cervo;096015;-1;0;0;2020/10/09
Casapinta;096014;-1;0;0;2020/10/09
Caprile;096013;-1;0;0;2020/10/09
Candelo;096012;-1;1;0.12999999523162842;2020/10/09
Camburzano;096010;-1;0;0;2020/10/09
Camandona;096009;-1;0;0;2020/10/09
Callabiana;096008;-1;0;0;2020/10/09
Brusnengo;096007;-1;0;0;2020/10/09
Borriana;096006;-1;1;1.1399999856948853;2020/10/09
Bioglio;096005;-1;1;1.1299999952316284;2020/10/09
Biella;096004;-1;25;0.5699999928474426;2020/10/09
Benna;096003;-1;3;2.559999942779541;2020/10/09
Andorno Micca;096002;-1;2;0.6299999952316284;2020/10/09
Ailoche;096001;-1;0;0;2020/10/09
Lu e Cuccaro Monferrato;006193;-1;0;0;2020/10/09
Alluvioni Piovera;006192;-1;3;1.7300000190734863;2020/10/09
Cassano Spinola;006191;-1;1;0.550000011920929;2020/10/09
Voltaggio;006190;-1;1;1.409999966621399;2020/10/09
Volpeglino;006189;-1;0;0;2020/10/09
Volpedo;006188;-1;0;0;2020/10/09
Visone;006187;-1;1;0.8100000023841858;2020/10/09
Villaromagnano;006186;-1;1;1.4900000095367432;2020/10/09
Villanova Monferrato;006185;-1;30;16.1200008392334;2020/10/09
Villamiroglio;006184;-1;0;0;2020/10/09
Villalvernia;006183;-1;0;0;2020/10/09
Villadeati;006182;-1;0;0;2020/10/09
Viguzzolo;006181;-1;1;0.3199999928474426;2020/10/09
Vignole Borbera;006180;-1;0;0;2020/10/09
Vignale Monferrato;006179;-1;0;0;2020/10/09
Valmacca;006178;-1;0;0;2020/10/09
Valenza;006177;-1;8;0.4300000071525574;2020/10/09
