Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/09/01
Anzola d'Ossola;103002;-1;0;0;2020/09/01
Arizzano;103003;-1;0;0;2020/09/01
Arola;103004;-1;0;0;2020/09/01
Aurano;103005;-1;0;0;2020/09/01
Baceno;103006;-1;0;0;2020/09/01
Bannio Anzino;103007;-1;0;0;2020/09/01
Baveno;103008;-1;4;0.8100000023841858;2020/09/01
Bee;103009;-1;0;0;2020/09/01
Belgirate;103010;-1;0;0;2020/09/01
Beura-Cardezza;103011;-1;0;0;2020/09/01
Bognanco;103012;-1;0;0;2020/09/01
Brovello-Carpugnino;103013;-1;0;0;2020/09/01
Calasca-Castiglione;103014;-1;0;0;2020/09/01
Cambiasca;103015;-1;0;0;2020/09/01
Cannero Riviera;103016;-1;2;2.200000047683716;2020/09/01
Cannobio;103017;-1;1;0.20000000298023224;2020/09/01
Caprezzo;103018;-1;0;0;2020/09/01
Casale Corte Cerro;103019;-1;1;0.28999999165534973;2020/09/01
Ceppo Morelli;103021;-1;0;0;2020/09/01
Cesara;103022;-1;0;0;2020/09/01
Cossogno;103023;-1;0;0;2020/09/01
Craveggia;103024;-1;0;0;2020/09/01
Crevoladossola;103025;-1;0;0;2020/09/01
Crodo;103026;-1;0;0;2020/09/01
Domodossola;103028;-1;4;0.2199999988079071;2020/09/01
Druogno;103029;-1;0;0;2020/09/01
Formazza;103031;-1;0;0;2020/09/01
Germagno;103032;-1;0;0;2020/09/01
Ghiffa;103033;-1;0;0;2020/09/01
Gignese;103034;-1;1;0.949999988079071;2020/09/01
Gravellona Toce;103035;-1;0;0;2020/09/01
Gurro;103036;-1;0;0;2020/09/01
Intragna;103037;-1;0;0;2020/09/01
Loreglia;103038;-1;0;0;2020/09/01
Macugnaga;103039;-1;0;0;2020/09/01
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/09/01
Malesco;103041;-1;0;0;2020/09/01
Masera;103042;-1;1;0.6800000071525574;2020/09/01
Massiola;103043;-1;0;0;2020/09/01
Mergozzo;103044;-1;0;0;2020/09/01
Miazzina;103045;-1;0;0;2020/09/01
Montecrestese;103046;-1;0;0;2020/09/01
Montescheno;103047;-1;0;0;2020/09/01
Nonio;103048;-1;0;0;2020/09/01
Oggebbio;103049;-1;0;0;2020/09/01
Omegna;103050;-1;14;0.9200000166893005;2020/09/01
Ornavasso;103051;-1;0;0;2020/09/01
Pallanzeno;103052;-1;0;0;2020/09/01
Piedimulera;103053;-1;0;0;2020/09/01
Pieve Vergonte;103054;-1;0;0;2020/09/01
Premeno;103055;-1;0;0;2020/09/01
Premia;103056;-1;0;0;2020/09/01
Premosello-Chiovenda;103057;-1;12;6.179999828338623;2020/09/01
Quarna Sopra;103058;-1;0;0;2020/09/01
Quarna Sotto;103059;-1;0;0;2020/09/01
Re;103060;-1;0;0;2020/09/01
San Bernardino Verbano;103061;-1;0;0;2020/09/01
Santa Maria Maggiore;103062;-1;0;0;2020/09/01
Stresa;103064;-1;2;0.4099999964237213;2020/09/01
Toceno;103065;-1;0;0;2020/09/01
Trarego Viggiona;103066;-1;0;0;2020/09/01
Trasquera;103067;-1;1;5.710000038146973;2020/09/01
Trontano;103068;-1;0;0;2020/09/01
Valstrona;103069;-1;0;0;2020/09/01
Vanzone con San Carlo;103070;-1;0;0;2020/09/01
Varzo;103071;-1;0;0;2020/09/01
Verbania;103072;-1;10;0.33000001311302185;2020/09/01
Vignone;103074;-1;0;0;2020/09/01
Villadossola;103075;-1;0;0;2020/09/01
Villette;103076;-1;0;0;2020/09/01
Vogogna;103077;-1;9;5.130000114440918;2020/09/01
Borgomezzavalle;103078;-1;0;0;2020/09/01
Valle Cannobina;103079;-1;0;0;2020/09/01
Valdilana;096088;-1;1;0.09000000357627869;2020/09/01
Quaregna Cerreto;096087;-1;0;0;2020/09/01
Campiglia Cervo;096086;-1;3;5.980000019073486;2020/09/01
Lessona;096085;-1;0;0;2020/09/01
Zumaglia;096083;-1;0;0;2020/09/01
Zubiena;096082;-1;0;0;2020/09/01
Zimone;096081;-1;0;0;2020/09/01
Viverone;096080;-1;0;0;2020/09/01
Villanova Biellese;096079;-1;0;0;2020/09/01
Villa del Bosco;096078;-1;0;0;2020/09/01
Vigliano Biellese;096077;-1;0;0;2020/09/01
Verrone;096076;-1;0;0;2020/09/01
Veglio;096075;-1;0;0;2020/09/01
Valle San Nicolao;096074;-1;0;0;2020/09/01
Vallanzengo;096072;-1;0;0;2020/09/01
Valdengo;096071;-1;0;0;2020/09/01
Torrazzo;096069;-1;0;0;2020/09/01
Tollegno;096068;-1;3;1.2300000190734863;2020/09/01
Ternengo;096067;-1;0;0;2020/09/01
Tavigliano;096066;-1;0;0;2020/09/01
Strona;096065;-1;0;0;2020/09/01
Sostegno;096064;-1;0;0;2020/09/01
Sordevolo;096063;-1;0;0;2020/09/01
Sandigliano;096059;-1;0;0;2020/09/01
Salussola;096058;-1;0;0;2020/09/01
Sala Biellese;096057;-1;0;0;2020/09/01
Sagliano Micca;096056;-1;0;0;2020/09/01
Rosazza;096055;-1;0;0;2020/09/01
Roppolo;096054;-1;0;0;2020/09/01
Ronco Biellese;096053;-1;0;0;2020/09/01
Pray;096050;-1;1;0.4699999988079071;2020/09/01
Pralungo;096049;-1;0;0;2020/09/01
Portula;096048;-1;2;1.6799999475479126;2020/09/01
Ponderano;096047;-1;3;0.7900000214576721;2020/09/01
Pollone;096046;-1;1;0.4699999988079071;2020/09/01
Piedicavallo;096044;-1;0;0;2020/09/01
Piatto;096043;-1;0;0;2020/09/01
Pettinengo;096042;-1;0;0;2020/09/01
Occhieppo Superiore;096041;-1;0;0;2020/09/01
Occhieppo Inferiore;096040;-1;0;0;2020/09/01
Netro;096039;-1;0;0;2020/09/01
Muzzano;096038;-1;0;0;2020/09/01
Mottalciata;096037;-1;0;0;2020/09/01
Mongrando;096035;-1;0;0;2020/09/01
Miagliano;096034;-1;0;0;2020/09/01
Mezzana Mortigliengo;096033;-1;0;0;2020/09/01
Masserano;096032;-1;0;0;2020/09/01
Massazza;096031;-1;0;0;2020/09/01
Magnano;096030;-1;0;0;2020/09/01
Graglia;096028;-1;0;0;2020/09/01
Gifflenga;096027;-1;0;-9999;2020/09/01
Gaglianico;096026;-1;0;0;2020/09/01
Dorzano;096025;-1;0;0;2020/09/01
Donato;096024;-1;0;0;2020/09/01
Curino;096023;-1;0;0;2020/09/01
Crevacuore;096021;-1;0;0;2020/09/01
Cossato;096020;-1;1;0.07000000029802322;2020/09/01
Coggiola;096019;-1;0;0;2020/09/01
Cerrione;096018;-1;0;0;2020/09/01
Cavaglià;096016;-1;0;0;2020/09/01
Castelletto Cervo;096015;-1;0;0;2020/09/01
Casapinta;096014;-1;0;0;2020/09/01
Caprile;096013;-1;0;0;2020/09/01
Candelo;096012;-1;1;0.12999999523162842;2020/09/01
Camburzano;096010;-1;0;0;2020/09/01
Camandona;096009;-1;0;0;2020/09/01
Callabiana;096008;-1;0;0;2020/09/01
Brusnengo;096007;-1;0;0;2020/09/01
Borriana;096006;-1;0;0;2020/09/01
Bioglio;096005;-1;0;0;2020/09/01
Biella;096004;-1;4;0.09000000357627869;2020/09/01
Benna;096003;-1;0;0;2020/09/01
Andorno Micca;096002;-1;0;0;2020/09/01
Ailoche;096001;-1;0;0;2020/09/01
Lu e Cuccaro Monferrato;006193;-1;0;0;2020/09/01
Alluvioni Piovera;006192;-1;2;1.149999976158142;2020/09/01
Cassano Spinola;006191;-1;0;0;2020/09/01
Voltaggio;006190;-1;0;0;2020/09/01
Volpeglino;006189;-1;0;0;2020/09/01
Volpedo;006188;-1;0;0;2020/09/01
Visone;006187;-1;0;0;2020/09/01
Villaromagnano;006186;-1;1;1.4900000095367432;2020/09/01
Villanova Monferrato;006185;-1;1;0.5400000214576721;2020/09/01
Villamiroglio;006184;-1;0;0;2020/09/01
Villalvernia;006183;-1;0;0;2020/09/01
Villadeati;006182;-1;0;0;2020/09/01
Viguzzolo;006181;-1;4;1.2899999618530273;2020/09/01
Vignole Borbera;006180;-1;1;0.47999998927116394;2020/09/01
Vignale Monferrato;006179;-1;0;0;2020/09/01
Valmacca;006178;-1;0;0;2020/09/01
Valenza;006177;-1;7;0.3799999952316284;2020/09/01
Trisobbio;006176;-1;0;0;2020/09/01
Treville;006175;-1;0;0;2020/09/01
Tortona;006174;-1;5;0.18000000715255737;2020/09/01
Ticineto;006173;-1;0;0;2020/09/01
Terzo;006172;-1;0;0;2020/09/01
Terruggia;006171;-1;1;1.0800000429153442;2020/09/01
Tassarolo;006170;-1;0;0;2020/09/01
Tagliolo Monferrato;006169;-1;0;0;2020/09/01
Strevi;006168;-1;0;0;2020/09/01
Stazzano;006167;-1;2;0.8399999737739563;2020/09/01
Spineto Scrivia;006166;-1;0;0;2020/09/01
Spigno Monferrato;006165;-1;0;0;2020/09/01
Solonghello;006164;-1;0;0;2020/09/01
Solero;006163;-1;0;0;2020/09/01
Silvano d'Orba;006162;-1;0;0;2020/09/01
Sezzadio;006161;-1;0;0;2020/09/01
Serravalle Scrivia;006160;-1;1;0.17000000178813934;2020/09/01
Serralunga di Crea;006159;-1;0;0;2020/09/01
Sarezzano;006158;-1;0;0;2020/09/01
Sardigliano;006157;-1;0;0;2020/09/01
Sant'Agata Fossili;006156;-1;0;0;2020/09/01
San Sebastiano Curone;006155;-1;0;0;2020/09/01
San Salvatore Monferrato;006154;-1;0;0;2020/09/01
San Giorgio Monferrato;006153;-1;0;0;2020/09/01
San Cristoforo;006152;-1;0;0;2020/09/01
Sale;006151;-1;5;1.2400000095367432;2020/09/01
Sala Monferrato;006150;-1;0;0;2020/09/01
Rosignano Monferrato;006149;-1;0;0;2020/09/01
Rocchetta Ligure;006148;-1;0;0;2020/09/01
Rocca Grimalda;006147;-1;0;0;2020/09/01
Roccaforte Ligure;006146;-1;0;0;2020/09/01
Rivarone;006145;-1;0;0;2020/09/01
Rivalta Bormida;006144;-1;0;0;2020/09/01
Ricaldone;006143;-1;0;0;2020/09/01
Quattordio;006142;-1;1;0.6299999952316284;2020/09/01
Quargnento;006141;-1;0;0;2020/09/01
Predosa;006140;-1;2;1.0099999904632568;2020/09/01
Prasco;006139;-1;0;0;2020/09/01
Pozzolo Formigaro;006138;-1;0;0;2020/09/01
Pozzol Groppo;006137;-1;0;0;2020/09/01
Ponzone;006136;-1;0;0;2020/09/01
Ponzano Monferrato;006135;-1;0;0;2020/09/01
Ponti;006134;-1;0;0;2020/09/01
Pontestura;006133;-1;0;0;2020/09/01
Pontecurone;006132;-1;3;0.8500000238418579;2020/09/01
Pomaro Monferrato;006131;-1;0;0;2020/09/01
Pietra Marazzi;006129;-1;0;0;2020/09/01
Pecetto di Valenza;006128;-1;1;0.8299999833106995;2020/09/01
Pasturana;006127;-1;0;0;2020/09/01
Parodi Ligure;006126;-1;0;0;2020/09/01
Pareto;006125;-1;0;0;2020/09/01
Paderna;006124;-1;0;0;2020/09/01
Ozzano Monferrato;006123;-1;0;0;2020/09/01
Oviglio;006122;-1;0;0;2020/09/01
Ovada;006121;-1;0;0;2020/09/01
Ottiglio;006120;-1;0;0;2020/09/01
Orsara Bormida;006119;-1;0;0;2020/09/01
Olivola;006118;-1;0;0;2020/09/01
Odalengo Piccolo;006117;-1;0;0;2020/09/01
Odalengo Grande;006116;-1;2;4.730000019073486;2020/09/01
Occimiano;006115;-1;0;0;2020/09/01
Novi Ligure;006114;-1;2;0.07000000029802322;2020/09/01
Murisengo;006113;-1;0;0;2020/09/01
Morsasco;006112;-1;0;0;2020/09/01
Mornese;006111;-1;0;0;2020/09/01
Morbello;006110;-1;0;0;2020/09/01
Morano sul Po;006109;-1;0;0;2020/09/01
Montemarzino;006108;-1;0;0;2020/09/01
Montegioco;006107;-1;0;0;2020/09/01
Montechiaro d'Acqui;006106;-1;1;1.8600000143051147;2020/09/01
Montecastello;006105;-1;0;0;2020/09/01
Montaldo Bormida;006104;-1;0;0;2020/09/01
Montaldeo;006103;-1;0;0;2020/09/01
Montacuto;006102;-1;0;0;2020/09/01
Monleale;006101;-1;0;0;2020/09/01
Mongiardino Ligure;006100;-1;0;-9999;2020/09/01
Moncestino;006099;-1;0;0;2020/09/01
Momperone;006098;-1;0;0;2020/09/01
Mombello Monferrato;006097;-1;0;0;2020/09/01
Molino dei Torti;006096;-1;0;0;2020/09/01
Molare;006095;-1;0;0;2020/09/01
Mirabello Monferrato;006094;-1;4;3.059999942779541;2020/09/01
Merana;006093;-1;0;0;2020/09/01
Melazzo;006092;-1;0;0;2020/09/01
Masio;006091;-1;0;0;2020/09/01
Malvicino;006090;-1;0;0;2020/09/01
Lerma;006088;-1;0;0;2020/09/01
Isola Sant'Antonio;006087;-1;0;0;2020/09/01
Guazzora;006086;-1;0;0;2020/09/01
Grondona;006085;-1;0;0;2020/09/01
Grognardo;006084;-1;0;0;2020/09/01
Gremiasco;006083;-1;0;0;2020/09/01
Giarole;006082;-1;0;0;2020/09/01
Gavi;006081;-1;0;0;2020/09/01
Garbagna;006079;-1;0;0;2020/09/01
Gamalero;006078;-1;0;0;2020/09/01
Gabiano;006077;-1;0;0;2020/09/01
Fubine Monferrato;006076;-1;2;1.25;2020/09/01
Frugarolo;006075;-1;1;0.5099999904632568;2020/09/01
Fresonara;006074;-1;0;0;2020/09/01
Frassineto Po;006073;-1;0;0;2020/09/01
Frassinello Monferrato;006072;-1;0;0;2020/09/01
Frascaro;006071;-1;0;0;2020/09/01
Francavilla Bisio;006070;-1;0;0;2020/09/01
Fraconalto;006069;-1;0;0;2020/09/01
Felizzano;006068;-1;0;0;2020/09/01
Fabbrica Curone;006067;-1;0;0;2020/09/01
Dernice;006066;-1;0;0;2020/09/01
Denice;006065;-1;0;0;2020/09/01
Cremolino;006063;-1;0;0;2020/09/01
Costa Vescovato;006062;-1;0;0;2020/09/01
Conzano;006061;-1;0;0;2020/09/01
Coniolo;006060;-1;0;0;2020/09/01
Cerrina Monferrato;006059;-1;1;0.7400000095367432;2020/09/01
Cerreto Grue;006058;-1;0;0;2020/09/01
Cereseto;006057;-1;0;0;2020/09/01
Cella Monte;006056;-1;0;0;2020/09/01
Cavatore;006055;-1;0;0;2020/09/01
Castelspina;006054;-1;0;0;2020/09/01
Castelnuovo Scrivia;006053;-1;1;0.20000000298023224;2020/09/01
Castelnuovo Bormida;006052;-1;0;0;2020/09/01
Castelletto Monferrato;006051;-1;0;0;2020/09/01
Castelletto Merli;006050;-1;0;0;2020/09/01
Castelletto d'Orba;006049;-1;0;0;2020/09/01
Castelletto d'Erro;006048;-1;0;0;2020/09/01
Castellazzo Bormida;006047;-1;1;0.2199999988079071;2020/09/01
Castellar Guidobono;006046;-1;0;0;2020/09/01
Castellania Coppi;006045;-1;0;0;2020/09/01
Cassinelle;006044;-1;0;0;2020/09/01
Cassine;006043;-1;0;0;2020/09/01
Casasco;006041;-1;0;0;2020/09/01
Casalnoceto;006040;-1;0;0;2020/09/01
Casale Monferrato;006039;-1;6;0.18000000715255737;2020/09/01
Casaleggio Boiro;006038;-1;0;0;2020/09/01
Casal Cermelli;006037;-1;0;0;2020/09/01
Cartosio;006036;-1;0;0;2020/09/01
Carrosio;006035;-1;0;0;2020/09/01
Carrega Ligure;006034;-1;0;0;2020/09/01
Carpeneto;006033;-1;1;1.0499999523162842;2020/09/01
Carezzano;006032;-1;0;0;2020/09/01
Carentino;006031;-1;0;0;2020/09/01
Carbonara Scrivia;006030;-1;0;0;2020/09/01
Capriata d'Orba;006029;-1;0;0;2020/09/01
Cantalupo Ligure;006028;-1;0;0;2020/09/01
Camino;006027;-1;0;0;2020/09/01
Camagna Monferrato;006026;-1;0;0;2020/09/01
Cabella Ligure;006025;-1;0;0;2020/09/01
Brignano-Frascata;006024;-1;0;0;2020/09/01
Bozzole;006023;-1;0;0;2020/09/01
