Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2021/03/30
Anzola d'Ossola;103002;-1;9;22.110000610351562;2021/03/30
Arizzano;103003;-1;9;4.46999979019165;2021/03/30
Arola;103004;-1;0;0;2021/03/30
Aurano;103005;-1;0;0;2021/03/30
Baceno;103006;-1;2;2.2300000190734863;2021/03/30
Bannio Anzino;103007;-1;10;20.920000076293945;2021/03/30
Baveno;103008;-1;19;3.859999895095825;2021/03/30
Bee;103009;-1;2;2.6500000953674316;2021/03/30
Belgirate;103010;-1;2;3.9800000190734863;2021/03/30
Beura-Cardezza;103011;-1;8;5.449999809265137;2021/03/30
Bognanco;103012;-1;0;0;2021/03/30
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2021/03/30
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/03/30
Cambiasca;103015;-1;6;3.700000047683716;2021/03/30
Cannero Riviera;103016;-1;4;4.400000095367432;2021/03/30
Cannobio;103017;-1;7;1.3700000047683716;2021/03/30
Caprezzo;103018;-1;0;0;2021/03/30
Casale Corte Cerro;103019;-1;13;3.75;2021/03/30
Ceppo Morelli;103021;-1;6;20.200000762939453;2021/03/30
Cesara;103022;-1;1;1.6799999475479126;2021/03/30
Cossogno;103023;-1;0;0;2021/03/30
Craveggia;103024;-1;1;1.309999942779541;2021/03/30
Crevoladossola;103025;-1;31;6.739999771118164;2021/03/30
Crodo;103026;-1;6;4.289999961853027;2021/03/30
Domodossola;103028;-1;140;7.71999979019165;2021/03/30
Druogno;103029;-1;12;11.279999732971191;2021/03/30
Formazza;103031;-1;0;0;2021/03/30
Germagno;103032;-1;0;0;2021/03/30
Ghiffa;103033;-1;9;3.819999933242798;2021/03/30
Gignese;103034;-1;1;0.949999988079071;2021/03/30
Gravellona Toce;103035;-1;27;3.4600000381469727;2021/03/30
Gurro;103036;-1;0;0;2021/03/30
Intragna;103037;-1;0;0;2021/03/30
Loreglia;103038;-1;0;0;2021/03/30
Macugnaga;103039;-1;2;3.690000057220459;2021/03/30
Madonna del Sasso;103040;-1;4;9.880000114440918;2021/03/30
Malesco;103041;-1;5;3.630000114440918;2021/03/30
Masera;103042;-1;2;1.350000023841858;2021/03/30
Massiola;103043;-1;0;0;2021/03/30
Mergozzo;103044;-1;8;3.700000047683716;2021/03/30
Miazzina;103045;-1;0;0;2021/03/30
Montecrestese;103046;-1;1;0.7900000214576721;2021/03/30
Montescheno;103047;-1;14;35.709999084472656;2021/03/30
Nonio;103048;-1;2;2.319999933242798;2021/03/30
Oggebbio;103049;-1;11;12.600000381469727;2021/03/30
Omegna;103050;-1;100;6.579999923706055;2021/03/30
Ornavasso;103051;-1;19;5.53000020980835;2021/03/30
Pallanzeno;103052;-1;23;20.030000686645508;2021/03/30
Piedimulera;103053;-1;8;5.260000228881836;2021/03/30
Pieve Vergonte;103054;-1;20;7.940000057220459;2021/03/30
Premeno;103055;-1;10;13.699999809265137;2021/03/30
Premia;103056;-1;2;3.619999885559082;2021/03/30
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2021/03/30
Quarna Sopra;103058;-1;0;0;2021/03/30
Quarna Sotto;103059;-1;3;7.789999961853027;2021/03/30
Re;103060;-1;1;1.3600000143051147;2021/03/30
San Bernardino Verbano;103061;-1;7;5.309999942779541;2021/03/30
Santa Maria Maggiore;103062;-1;12;9.289999961853027;2021/03/30
Stresa;103064;-1;21;4.309999942779541;2021/03/30
Toceno;103065;-1;6;8.229999542236328;2021/03/30
Trarego Viggiona;103066;-1;0;0;2021/03/30
Trasquera;103067;-1;0;0;2021/03/30
Trontano;103068;-1;19;11.380000114440918;2021/03/30
Valstrona;103069;-1;7;5.760000228881836;2021/03/30
Vanzone con San Carlo;103070;-1;4;10.470000267028809;2021/03/30
Varzo;103071;-1;16;7.929999828338623;2021/03/30
Verbania;103072;-1;99;3.25;2021/03/30
Vignone;103074;-1;3;2.509999990463257;2021/03/30
Villadossola;103075;-1;76;11.649999618530273;2021/03/30
Villette;103076;-1;4;14.390000343322754;2021/03/30
Vogogna;103077;-1;6;3.4200000762939453;2021/03/30
Borgomezzavalle;103078;-1;6;19.049999237060547;2021/03/30
Valle Cannobina;103079;-1;0;0;2021/03/30
Valdilana;096088;-1;51;4.710000038146973;2021/03/30
Quaregna Cerreto;096087;-1;9;4.409999847412109;2021/03/30
Campiglia Cervo;096086;-1;1;1.9900000095367432;2021/03/30
Lessona;096085;-1;6;2.200000047683716;2021/03/30
Zumaglia;096083;-1;1;0.9800000190734863;2021/03/30
Zubiena;096082;-1;3;2.609999895095825;2021/03/30
Zimone;096081;-1;0;0;2021/03/30
Viverone;096080;-1;9;6.380000114440918;2021/03/30
Villanova Biellese;096079;-1;0;0;2021/03/30
Villa del Bosco;096078;-1;1;2.990000009536743;2021/03/30
Vigliano Biellese;096077;-1;30;3.9100000858306885;2021/03/30
Verrone;096076;-1;15;12.029999732971191;2021/03/30
Veglio;096075;-1;1;2.0999999046325684;2021/03/30
Valle San Nicolao;096074;-1;0;0;2021/03/30
Vallanzengo;096072;-1;0;0;2021/03/30
Valdengo;096071;-1;16;6.5;2021/03/30
Torrazzo;096069;-1;0;0;2021/03/30
Tollegno;096068;-1;7;2.859999895095825;2021/03/30
Ternengo;096067;-1;0;0;2021/03/30
Tavigliano;096066;-1;2;2.1600000858306885;2021/03/30
Strona;096065;-1;3;2.799999952316284;2021/03/30
Sostegno;096064;-1;1;1.2999999523162842;2021/03/30
Sordevolo;096063;-1;4;2.9800000190734863;2021/03/30
Sandigliano;096059;-1;15;5.619999885559082;2021/03/30
Salussola;096058;-1;6;3.119999885559082;2021/03/30
Sala Biellese;096057;-1;2;3.380000114440918;2021/03/30
Sagliano Micca;096056;-1;1;0.6200000047683716;2021/03/30
Rosazza;096055;-1;0;0;2021/03/30
Roppolo;096054;-1;10;11.359999656677246;2021/03/30
Ronco Biellese;096053;-1;7;4.639999866485596;2021/03/30
Pray;096050;-1;6;2.8399999141693115;2021/03/30
Pralungo;096049;-1;6;2.5299999713897705;2021/03/30
Portula;096048;-1;3;2.5199999809265137;2021/03/30
Ponderano;096047;-1;20;5.289999961853027;2021/03/30
Pollone;096046;-1;6;2.8399999141693115;2021/03/30
Piedicavallo;096044;-1;0;0;2021/03/30
Piatto;096043;-1;2;3.9700000286102295;2021/03/30
Pettinengo;096042;-1;3;1.9700000286102295;2021/03/30
Occhieppo Superiore;096041;-1;12;4.460000038146973;2021/03/30
Occhieppo Inferiore;096040;-1;12;3.0799999237060547;2021/03/30
Netro;096039;-1;0;0;2021/03/30
Muzzano;096038;-1;0;0;2021/03/30
Mottalciata;096037;-1;8;5.909999847412109;2021/03/30
Mongrando;096035;-1;29;7.639999866485596;2021/03/30
Miagliano;096034;-1;1;1.75;2021/03/30
Mezzana Mortigliengo;096033;-1;2;3.990000009536743;2021/03/30
Masserano;096032;-1;8;3.819999933242798;2021/03/30
Massazza;096031;-1;7;12.569999694824219;2021/03/30
Magnano;096030;-1;0;0;2021/03/30
Graglia;096028;-1;2;1.3200000524520874;2021/03/30
Gifflenga;096027;-1;1;8.850000381469727;2021/03/30
Gaglianico;096026;-1;11;2.940000057220459;2021/03/30
Dorzano;096025;-1;4;7.53000020980835;2021/03/30
Donato;096024;-1;1;1.3899999856948853;2021/03/30
Curino;096023;-1;0;0;2021/03/30
Crevacuore;096021;-1;6;4.010000228881836;2021/03/30
Cossato;096020;-1;46;3.1600000858306885;2021/03/30
Coggiola;096019;-1;5;2.7799999713897705;2021/03/30
Cerrione;096018;-1;12;4.170000076293945;2021/03/30
Cavaglià;096016;-1;20;5.519999980926514;2021/03/30
Castelletto Cervo;096015;-1;0;0;2021/03/30
Casapinta;096014;-1;0;0;2021/03/30
Caprile;096013;-1;0;0;2021/03/30
Candelo;096012;-1;24;3.190000057220459;2021/03/30
Camburzano;096010;-1;6;5.199999809265137;2021/03/30
Camandona;096009;-1;0;0;2021/03/30
Callabiana;096008;-1;0;0;2021/03/30
Brusnengo;096007;-1;4;1.9800000190734863;2021/03/30
Borriana;096006;-1;0;0;2021/03/30
Bioglio;096005;-1;7;7.900000095367432;2021/03/30
Biella;096004;-1;163;3.7100000381469727;2021/03/30
Benna;096003;-1;7;5.96999979019165;2021/03/30
Andorno Micca;096002;-1;25;7.869999885559082;2021/03/30
Ailoche;096001;-1;1;3.059999942779541;2021/03/30
Lu e Cuccaro Monferrato;006193;-1;3;2.140000104904175;2021/03/30
Alluvioni Piovera;006192;-1;5;2.880000114440918;2021/03/30
Cassano Spinola;006191;-1;11;6.099999904632568;2021/03/30
Voltaggio;006190;-1;4;5.639999866485596;2021/03/30
Volpeglino;006189;-1;0;0;2021/03/30
Volpedo;006188;-1;0;0;2021/03/30
Visone;006187;-1;1;0.8100000023841858;2021/03/30
Villaromagnano;006186;-1;3;4.480000019073486;2021/03/30
Villanova Monferrato;006185;-1;2;1.0700000524520874;2021/03/30
Villamiroglio;006184;-1;3;9.800000190734863;2021/03/30
Villalvernia;006183;-1;7;7.849999904632568;2021/03/30
Villadeati;006182;-1;0;0;2021/03/30
Viguzzolo;006181;-1;16;5.159999847412109;2021/03/30
Vignole Borbera;006180;-1;2;0.9700000286102295;2021/03/30
Vignale Monferrato;006179;-1;4;4.079999923706055;2021/03/30
Valmacca;006178;-1;6;5.980000019073486;2021/03/30
Valenza;006177;-1;60;3.2200000286102295;2021/03/30
Trisobbio;006176;-1;0;0;2021/03/30
Treville;006175;-1;0;0;2021/03/30
Tortona;006174;-1;137;5.019999980926514;2021/03/30
Ticineto;006173;-1;0;0;2021/03/30
Terzo;006172;-1;3;3.5299999713897705;2021/03/30
Terruggia;006171;-1;4;4.309999942779541;2021/03/30
Tassarolo;006170;-1;3;4.78000020980835;2021/03/30
Tagliolo Monferrato;006169;-1;7;4.539999961853027;2021/03/30
Strevi;006168;-1;5;2.559999942779541;2021/03/30
Stazzano;006167;-1;22;9.1899995803833;2021/03/30
Spineto Scrivia;006166;-1;2;5.449999809265137;2021/03/30
Spigno Monferrato;006165;-1;0;0;2021/03/30
Solonghello;006164;-1;0;0;2021/03/30
Solero;006163;-1;16;9.609999656677246;2021/03/30
Silvano d'Orba;006162;-1;4;2.069999933242798;2021/03/30
Sezzadio;006161;-1;7;5.570000171661377;2021/03/30
Serravalle Scrivia;006160;-1;11;1.8300000429153442;2021/03/30
Serralunga di Crea;006159;-1;5;9.350000381469727;2021/03/30
Sarezzano;006158;-1;3;2.559999942779541;2021/03/30
Sardigliano;006157;-1;0;0;2021/03/30
Sant'Agata Fossili;006156;-1;2;5;2021/03/30
San Sebastiano Curone;006155;-1;0;0;2021/03/30
San Salvatore Monferrato;006154;-1;9;2.140000104904175;2021/03/30
San Giorgio Monferrato;006153;-1;14;11.520000457763672;2021/03/30
San Cristoforo;006152;-1;9;15.520000457763672;2021/03/30
Sale;006151;-1;21;5.190000057220459;2021/03/30
Sala Monferrato;006150;-1;3;8.979999542236328;2021/03/30
Rosignano Monferrato;006149;-1;10;6.619999885559082;2021/03/30
Rocchetta Ligure;006148;-1;0;0;2021/03/30
Rocca Grimalda;006147;-1;8;5.429999828338623;2021/03/30
Roccaforte Ligure;006146;-1;0;0;2021/03/30
Rivarone;006145;-1;0;0;2021/03/30
Rivalta Bormida;006144;-1;2;1.4199999570846558;2021/03/30
Ricaldone;006143;-1;1;1.5499999523162842;2021/03/30
Quattordio;006142;-1;1;0.6299999952316284;2021/03/30
Quargnento;006141;-1;2;1.4199999570846558;2021/03/30
Predosa;006140;-1;21;10.630000114440918;2021/03/30
Prasco;006139;-1;1;2.0299999713897705;2021/03/30
Pozzolo Formigaro;006138;-1;16;3.430000066757202;2021/03/30
Pozzol Groppo;006137;-1;1;3.440000057220459;2021/03/30
Ponzone;006136;-1;1;0.9900000095367432;2021/03/30
Ponzano Monferrato;006135;-1;3;8.899999618530273;2021/03/30
Ponti;006134;-1;0;0;2021/03/30
Pontestura;006133;-1;7;4.929999828338623;2021/03/30
Pontecurone;006132;-1;2;0.5600000023841858;2021/03/30
Pomaro Monferrato;006131;-1;0;0;2021/03/30
Pietra Marazzi;006129;-1;1;1.1100000143051147;2021/03/30
Pecetto di Valenza;006128;-1;3;2.490000009536743;2021/03/30
Pasturana;006127;-1;7;5.489999771118164;2021/03/30
Parodi Ligure;006126;-1;4;6.150000095367432;2021/03/30
Pareto;006125;-1;0;0;2021/03/30
Paderna;006124;-1;1;5.289999961853027;2021/03/30
Ozzano Monferrato;006123;-1;8;5.710000038146973;2021/03/30
Oviglio;006122;-1;5;4.050000190734863;2021/03/30
Ovada;006121;-1;31;2.740000009536743;2021/03/30
Ottiglio;006120;-1;1;1.6299999952316284;2021/03/30
Orsara Bormida;006119;-1;3;7.460000038146973;2021/03/30
Olivola;006118;-1;0;0;2021/03/30
Odalengo Piccolo;006117;-1;4;15.6899995803833;2021/03/30
Odalengo Grande;006116;-1;3;7.090000152587891;2021/03/30
Occimiano;006115;-1;0;0;2021/03/30
Novi Ligure;006114;-1;133;4.699999809265137;2021/03/30
Murisengo;006113;-1;4;2.930000066757202;2021/03/30
Morsasco;006112;-1;1;1.590000033378601;2021/03/30
Mornese;006111;-1;1;1.3899999856948853;2021/03/30
Morbello;006110;-1;1;2.369999885559082;2021/03/30
Morano sul Po;006109;-1;10;7.190000057220459;2021/03/30
Montemarzino;006108;-1;0;0;2021/03/30
Montegioco;006107;-1;1;3.2899999618530273;2021/03/30
Montechiaro d'Acqui;006106;-1;19;35.380001068115234;2021/03/30
