Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/08/15
Anzola d'Ossola;103002;-1;0;0;2020/08/15
Arizzano;103003;-1;0;0;2020/08/15
Arola;103004;-1;0;0;2020/08/15
Aurano;103005;-1;0;0;2020/08/15
Baceno;103006;-1;0;0;2020/08/15
Bannio Anzino;103007;-1;0;0;2020/08/15
Baveno;103008;-1;2;0.4099999964237213;2020/08/15
Bee;103009;-1;0;0;2020/08/15
Belgirate;103010;-1;0;0;2020/08/15
Beura-Cardezza;103011;-1;0;0;2020/08/15
Bognanco;103012;-1;0;0;2020/08/15
Brovello-Carpugnino;103013;-1;0;0;2020/08/15
Calasca-Castiglione;103014;-1;0;0;2020/08/15
Cambiasca;103015;-1;0;0;2020/08/15
Cannero Riviera;103016;-1;0;0;2020/08/15
Cannobio;103017;-1;0;0;2020/08/15
Caprezzo;103018;-1;0;0;2020/08/15
Casale Corte Cerro;103019;-1;1;0.28999999165534973;2020/08/15
Ceppo Morelli;103021;-1;0;0;2020/08/15
Cesara;103022;-1;0;0;2020/08/15
Cossogno;103023;-1;0;0;2020/08/15
Craveggia;103024;-1;0;0;2020/08/15
Crevoladossola;103025;-1;0;0;2020/08/15
Crodo;103026;-1;0;0;2020/08/15
Domodossola;103028;-1;3;0.17000000178813934;2020/08/15
Druogno;103029;-1;0;0;2020/08/15
Formazza;103031;-1;0;0;2020/08/15
Germagno;103032;-1;0;0;2020/08/15
Ghiffa;103033;-1;0;0;2020/08/15
Gignese;103034;-1;0;0;2020/08/15
Gravellona Toce;103035;-1;0;0;2020/08/15
Gurro;103036;-1;0;0;2020/08/15
Intragna;103037;-1;0;0;2020/08/15
Loreglia;103038;-1;0;0;2020/08/15
Macugnaga;103039;-1;0;0;2020/08/15
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/08/15
Malesco;103041;-1;0;0;2020/08/15
Masera;103042;-1;0;0;2020/08/15
Massiola;103043;-1;0;0;2020/08/15
Mergozzo;103044;-1;0;0;2020/08/15
Miazzina;103045;-1;0;0;2020/08/15
Montecrestese;103046;-1;0;0;2020/08/15
Montescheno;103047;-1;0;0;2020/08/15
Nonio;103048;-1;0;0;2020/08/15
Oggebbio;103049;-1;0;0;2020/08/15
Omegna;103050;-1;14;0.9200000166893005;2020/08/15
Ornavasso;103051;-1;0;0;2020/08/15
Pallanzeno;103052;-1;0;0;2020/08/15
Piedimulera;103053;-1;0;0;2020/08/15
Pieve Vergonte;103054;-1;0;0;2020/08/15
Premeno;103055;-1;0;0;2020/08/15
Premia;103056;-1;0;0;2020/08/15
Premosello-Chiovenda;103057;-1;12;6.179999828338623;2020/08/15
Quarna Sopra;103058;-1;0;0;2020/08/15
Quarna Sotto;103059;-1;0;0;2020/08/15
Re;103060;-1;0;0;2020/08/15
San Bernardino Verbano;103061;-1;0;0;2020/08/15
Santa Maria Maggiore;103062;-1;0;0;2020/08/15
Stresa;103064;-1;2;0.4099999964237213;2020/08/15
Toceno;103065;-1;0;0;2020/08/15
Trarego Viggiona;103066;-1;0;0;2020/08/15
Trasquera;103067;-1;0;0;2020/08/15
Trontano;103068;-1;1;0.6000000238418579;2020/08/15
Valstrona;103069;-1;0;0;2020/08/15
Vanzone con San Carlo;103070;-1;0;0;2020/08/15
Varzo;103071;-1;0;0;2020/08/15
Verbania;103072;-1;3;0.10000000149011612;2020/08/15
Vignone;103074;-1;0;0;2020/08/15
Villadossola;103075;-1;0;0;2020/08/15
Villette;103076;-1;0;0;2020/08/15
Vogogna;103077;-1;9;5.130000114440918;2020/08/15
Borgomezzavalle;103078;-1;0;0;2020/08/15
Valle Cannobina;103079;-1;0;0;2020/08/15
Valdilana;096088;-1;1;0.09000000357627869;2020/08/15
Quaregna Cerreto;096087;-1;0;0;2020/08/15
Campiglia Cervo;096086;-1;0;0;2020/08/15
Lessona;096085;-1;0;0;2020/08/15
Zumaglia;096083;-1;0;0;2020/08/15
Zubiena;096082;-1;0;0;2020/08/15
Zimone;096081;-1;0;0;2020/08/15
Viverone;096080;-1;0;0;2020/08/15
Villanova Biellese;096079;-1;0;0;2020/08/15
Villa del Bosco;096078;-1;0;0;2020/08/15
Vigliano Biellese;096077;-1;0;0;2020/08/15
Verrone;096076;-1;0;0;2020/08/15
Veglio;096075;-1;0;0;2020/08/15
Valle San Nicolao;096074;-1;0;0;2020/08/15
Vallanzengo;096072;-1;0;0;2020/08/15
Valdengo;096071;-1;0;0;2020/08/15
Torrazzo;096069;-1;0;0;2020/08/15
Tollegno;096068;-1;0;0;2020/08/15
Ternengo;096067;-1;0;0;2020/08/15
Tavigliano;096066;-1;0;0;2020/08/15
Strona;096065;-1;0;0;2020/08/15
Sostegno;096064;-1;0;0;2020/08/15
Sordevolo;096063;-1;0;0;2020/08/15
Sandigliano;096059;-1;0;0;2020/08/15
Salussola;096058;-1;0;0;2020/08/15
Sala Biellese;096057;-1;0;0;2020/08/15
Sagliano Micca;096056;-1;0;0;2020/08/15
Rosazza;096055;-1;0;0;2020/08/15
Roppolo;096054;-1;0;0;2020/08/15
Ronco Biellese;096053;-1;0;0;2020/08/15
Pray;096050;-1;0;0;2020/08/15
Pralungo;096049;-1;0;0;2020/08/15
Portula;096048;-1;2;1.6799999475479126;2020/08/15
Ponderano;096047;-1;0;0;2020/08/15
Pollone;096046;-1;0;0;2020/08/15
Piedicavallo;096044;-1;0;0;2020/08/15
Piatto;096043;-1;0;0;2020/08/15
Pettinengo;096042;-1;0;0;2020/08/15
Occhieppo Superiore;096041;-1;0;0;2020/08/15
Occhieppo Inferiore;096040;-1;0;0;2020/08/15
Netro;096039;-1;0;0;2020/08/15
Muzzano;096038;-1;0;0;2020/08/15
Mottalciata;096037;-1;0;0;2020/08/15
