Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2020/10/23
Anzola d'Ossola;103002;-1;0;0;2020/10/23
Arizzano;103003;-1;5;2.490000009536743;2020/10/23
Arola;103004;-1;0;0;2020/10/23
Aurano;103005;-1;0;0;2020/10/23
Baceno;103006;-1;5;5.570000171661377;2020/10/23
Bannio Anzino;103007;-1;0;0;2020/10/23
Baveno;103008;-1;31;6.300000190734863;2020/10/23
Bee;103009;-1;0;0;2020/10/23
Belgirate;103010;-1;1;1.9900000095367432;2020/10/23
Beura-Cardezza;103011;-1;3;2.0399999618530273;2020/10/23
Bognanco;103012;-1;1;5.320000171661377;2020/10/23
Brovello-Carpugnino;103013;-1;0;0;2020/10/23
Calasca-Castiglione;103014;-1;0;0;2020/10/23
Cambiasca;103015;-1;0;0;2020/10/23
Cannero Riviera;103016;-1;1;1.100000023841858;2020/10/23
Cannobio;103017;-1;3;0.5899999737739563;2020/10/23
Caprezzo;103018;-1;0;0;2020/10/23
Casale Corte Cerro;103019;-1;2;0.5799999833106995;2020/10/23
Ceppo Morelli;103021;-1;0;0;2020/10/23
Cesara;103022;-1;2;3.369999885559082;2020/10/23
Cossogno;103023;-1;0;0;2020/10/23
Craveggia;103024;-1;0;0;2020/10/23
Crevoladossola;103025;-1;27;5.869999885559082;2020/10/23
Crodo;103026;-1;9;6.440000057220459;2020/10/23
Domodossola;103028;-1;39;2.1500000953674316;2020/10/23
Druogno;103029;-1;4;3.759999990463257;2020/10/23
Formazza;103031;-1;3;6.789999961853027;2020/10/23
Germagno;103032;-1;0;0;2020/10/23
Ghiffa;103033;-1;2;0.8500000238418579;2020/10/23
Gignese;103034;-1;3;2.859999895095825;2020/10/23
Gravellona Toce;103035;-1;14;1.7899999618530273;2020/10/23
Gurro;103036;-1;0;0;2020/10/23
Intragna;103037;-1;0;0;2020/10/23
Loreglia;103038;-1;0;0;2020/10/23
Macugnaga;103039;-1;3;5.539999961853027;2020/10/23
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/10/23
Malesco;103041;-1;1;0.7300000190734863;2020/10/23
Masera;103042;-1;4;2.7100000381469727;2020/10/23
Massiola;103043;-1;0;0;2020/10/23
Mergozzo;103044;-1;3;1.3899999856948853;2020/10/23
Miazzina;103045;-1;0;0;2020/10/23
Montecrestese;103046;-1;5;3.930000066757202;2020/10/23
Montescheno;103047;-1;1;2.549999952316284;2020/10/23
Nonio;103048;-1;0;0;2020/10/23
Oggebbio;103049;-1;1;1.149999976158142;2020/10/23
Omegna;103050;-1;35;2.299999952316284;2020/10/23
Ornavasso;103051;-1;1;0.28999999165534973;2020/10/23
Pallanzeno;103052;-1;0;0;2020/10/23
Piedimulera;103053;-1;1;0.6600000262260437;2020/10/23
Pieve Vergonte;103054;-1;3;1.190000057220459;2020/10/23
Premeno;103055;-1;0;0;2020/10/23
Premia;103056;-1;3;5.420000076293945;2020/10/23
Premosello-Chiovenda;103057;-1;16;8.239999771118164;2020/10/23
Quarna Sopra;103058;-1;0;0;2020/10/23
Quarna Sotto;103059;-1;0;0;2020/10/23
Re;103060;-1;2;2.7200000286102295;2020/10/23
San Bernardino Verbano;103061;-1;0;0;2020/10/23
Santa Maria Maggiore;103062;-1;2;1.5499999523162842;2020/10/23
Stresa;103064;-1;5;1.0299999713897705;2020/10/23
Toceno;103065;-1;1;1.3700000047683716;2020/10/23
Trarego Viggiona;103066;-1;0;0;2020/10/23
Trasquera;103067;-1;0;0;2020/10/23
Trontano;103068;-1;7;4.190000057220459;2020/10/23
Valstrona;103069;-1;0;0;2020/10/23
Vanzone con San Carlo;103070;-1;0;0;2020/10/23
Varzo;103071;-1;5;2.4800000190734863;2020/10/23
Verbania;103072;-1;53;1.7400000095367432;2020/10/23
Vignone;103074;-1;3;2.509999990463257;2020/10/23
Villadossola;103075;-1;9;1.3799999952316284;2020/10/23
Villette;103076;-1;1;3.5999999046325684;2020/10/23
Vogogna;103077;-1;16;9.109999656677246;2020/10/23
Borgomezzavalle;103078;-1;0;0;2020/10/23
Valle Cannobina;103079;-1;0;0;2020/10/23
Valdilana;096088;-1;12;1.1100000143051147;2020/10/23
Quaregna Cerreto;096087;-1;20;9.800000190734863;2020/10/23
Campiglia Cervo;096086;-1;3;5.980000019073486;2020/10/23
Lessona;096085;-1;13;4.769999980926514;2020/10/23
Zumaglia;096083;-1;3;2.940000057220459;2020/10/23
Zubiena;096082;-1;1;0.8700000047683716;2020/10/23
Zimone;096081;-1;0;0;2020/10/23
Viverone;096080;-1;2;1.4199999570846558;2020/10/23
Villanova Biellese;096079;-1;0;0;2020/10/23
Villa del Bosco;096078;-1;0;0;2020/10/23
Vigliano Biellese;096077;-1;25;3.259999990463257;2020/10/23
Verrone;096076;-1;0;0;2020/10/23
Veglio;096075;-1;0;0;2020/10/23
Valle San Nicolao;096074;-1;3;3.1500000953674316;2020/10/23
Vallanzengo;096072;-1;0;0;2020/10/23
Valdengo;096071;-1;9;3.6600000858306885;2020/10/23
Torrazzo;096069;-1;0;0;2020/10/23
Tollegno;096068;-1;12;4.900000095367432;2020/10/23
Ternengo;096067;-1;0;0;2020/10/23
Tavigliano;096066;-1;0;0;2020/10/23
Strona;096065;-1;1;0.9300000071525574;2020/10/23
Sostegno;096064;-1;0;0;2020/10/23
Sordevolo;096063;-1;31;23.100000381469727;2020/10/23
Sandigliano;096059;-1;12;4.5;2020/10/23
Salussola;096058;-1;6;3.119999885559082;2020/10/23
Sala Biellese;096057;-1;0;0;2020/10/23
Sagliano Micca;096056;-1;3;1.8700000047683716;2020/10/23
Rosazza;096055;-1;2;21.979999542236328;2020/10/23
Roppolo;096054;-1;1;1.1399999856948853;2020/10/23
Ronco Biellese;096053;-1;3;1.9900000095367432;2020/10/23
Pray;096050;-1;0;0;2020/10/23
Pralungo;096049;-1;4;1.690000057220459;2020/10/23
Portula;096048;-1;1;0.8399999737739563;2020/10/23
Ponderano;096047;-1;13;3.440000057220459;2020/10/23
Pollone;096046;-1;9;4.260000228881836;2020/10/23
Piedicavallo;096044;-1;0;0;2020/10/23
Piatto;096043;-1;5;9.920000076293945;2020/10/23
Pettinengo;096042;-1;4;2.630000114440918;2020/10/23
Occhieppo Superiore;096041;-1;7;2.5999999046325684;2020/10/23
Occhieppo Inferiore;096040;-1;5;1.2799999713897705;2020/10/23
Netro;096039;-1;4;4.119999885559082;2020/10/23
Muzzano;096038;-1;1;1.659999966621399;2020/10/23
Mottalciata;096037;-1;8;5.909999847412109;2020/10/23
Mongrando;096035;-1;4;1.0499999523162842;2020/10/23
Miagliano;096034;-1;4;7.010000228881836;2020/10/23
Mezzana Mortigliengo;096033;-1;2;3.990000009536743;2020/10/23
Masserano;096032;-1;2;0.9599999785423279;2020/10/23
Massazza;096031;-1;0;0;2020/10/23
Magnano;096030;-1;2;5.079999923706055;2020/10/23
Graglia;096028;-1;6;3.9600000381469727;2020/10/23
