Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2021/05/03
Anzola d'Ossola;103002;-1;5;12.289999961853027;2021/05/03
Arizzano;103003;-1;1;0.5;2021/05/03
Arola;103004;-1;0;0;2021/05/03
Aurano;103005;-1;0;0;2021/05/03
Baceno;103006;-1;1;1.1100000143051147;2021/05/03
Bannio Anzino;103007;-1;2;4.179999828338623;2021/05/03
Baveno;103008;-1;3;0.6100000143051147;2021/05/03
Bee;103009;-1;4;5.300000190734863;2021/05/03
Belgirate;103010;-1;1;1.9900000095367432;2021/05/03
Beura-Cardezza;103011;-1;2;1.3600000143051147;2021/05/03
Bognanco;103012;-1;0;0;2021/05/03
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/05/03
Calasca-Castiglione;103014;-1;0;0;2021/05/03
Cambiasca;103015;-1;0;0;2021/05/03
Cannero Riviera;103016;-1;0;0;2021/05/03
Cannobio;103017;-1;12;2.3399999141693115;2021/05/03
Caprezzo;103018;-1;1;5.920000076293945;2021/05/03
Casale Corte Cerro;103019;-1;4;1.149999976158142;2021/05/03
Ceppo Morelli;103021;-1;0;0;2021/05/03
Cesara;103022;-1;1;1.6799999475479126;2021/05/03
Cossogno;103023;-1;0;0;2021/05/03
Craveggia;103024;-1;3;3.940000057220459;2021/05/03
Crevoladossola;103025;-1;50;10.869999885559082;2021/05/03
Crodo;103026;-1;7;5.010000228881836;2021/05/03
Domodossola;103028;-1;87;4.789999961853027;2021/05/03
Druogno;103029;-1;6;5.639999866485596;2021/05/03
Formazza;103031;-1;1;2.259999990463257;2021/05/03
Germagno;103032;-1;0;0;2021/05/03
Ghiffa;103033;-1;4;1.7000000476837158;2021/05/03
Gignese;103034;-1;1;0.949999988079071;2021/05/03
Gravellona Toce;103035;-1;18;2.309999942779541;2021/05/03
Gurro;103036;-1;0;0;2021/05/03
Intragna;103037;-1;0;0;2021/05/03
Loreglia;103038;-1;0;0;2021/05/03
Macugnaga;103039;-1;2;3.690000057220459;2021/05/03
Madonna del Sasso;103040;-1;5;12.350000381469727;2021/05/03
Malesco;103041;-1;3;2.180000066757202;2021/05/03
Masera;103042;-1;2;1.350000023841858;2021/05/03
Massiola;103043;-1;0;0;2021/05/03
Mergozzo;103044;-1;8;3.700000047683716;2021/05/03
Miazzina;103045;-1;0;0;2021/05/03
Montecrestese;103046;-1;7;5.5;2021/05/03
Montescheno;103047;-1;3;7.650000095367432;2021/05/03
Nonio;103048;-1;2;2.319999933242798;2021/05/03
Oggebbio;103049;-1;0;0;2021/05/03
Omegna;103050;-1;24;1.5800000429153442;2021/05/03
Ornavasso;103051;-1;7;2.0399999618530273;2021/05/03
Pallanzeno;103052;-1;10;8.710000038146973;2021/05/03
Piedimulera;103053;-1;4;2.630000114440918;2021/05/03
Pieve Vergonte;103054;-1;6;2.380000114440918;2021/05/03
Premeno;103055;-1;2;2.740000009536743;2021/05/03
Premia;103056;-1;8;14.470000267028809;2021/05/03
Premosello-Chiovenda;103057;-1;0;0;2021/05/03
Quarna Sopra;103058;-1;0;0;2021/05/03
Quarna Sotto;103059;-1;4;10.390000343322754;2021/05/03
Re;103060;-1;0;0;2021/05/03
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2021/05/03
Santa Maria Maggiore;103062;-1;5;3.869999885559082;2021/05/03
Stresa;103064;-1;1;0.20999999344348907;2021/05/03
