Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2021/04/04
Anzola d'Ossola;103002;-1;9;22.110000610351562;2021/04/04
Arizzano;103003;-1;10;4.96999979019165;2021/04/04
Arola;103004;-1;1;4.119999885559082;2021/04/04
Aurano;103005;-1;0;0;2021/04/04
Baceno;103006;-1;1;1.1100000143051147;2021/04/04
Bannio Anzino;103007;-1;7;14.640000343322754;2021/04/04
Baveno;103008;-1;16;3.25;2021/04/04
Bee;103009;-1;3;3.9700000286102295;2021/04/04
Belgirate;103010;-1;1;1.9900000095367432;2021/04/04
Beura-Cardezza;103011;-1;8;5.449999809265137;2021/04/04
Bognanco;103012;-1;0;0;2021/04/04
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2021/04/04
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/04/04
Cambiasca;103015;-1;5;3.0799999237060547;2021/04/04
Cannero Riviera;103016;-1;3;3.299999952316284;2021/04/04
Cannobio;103017;-1;12;2.3399999141693115;2021/04/04
Caprezzo;103018;-1;0;0;2021/04/04
Casale Corte Cerro;103019;-1;13;3.75;2021/04/04
Ceppo Morelli;103021;-1;4;13.470000267028809;2021/04/04
Cesara;103022;-1;1;1.6799999475479126;2021/04/04
Cossogno;103023;-1;2;2.950000047683716;2021/04/04
Craveggia;103024;-1;1;1.309999942779541;2021/04/04
Crevoladossola;103025;-1;29;6.300000190734863;2021/04/04
Crodo;103026;-1;4;2.859999895095825;2021/04/04
Domodossola;103028;-1;150;8.270000457763672;2021/04/04
Druogno;103029;-1;8;7.519999980926514;2021/04/04
Formazza;103031;-1;1;2.259999990463257;2021/04/04
Germagno;103032;-1;1;5.260000228881836;2021/04/04
Ghiffa;103033;-1;5;2.119999885559082;2021/04/04
Gignese;103034;-1;5;4.769999980926514;2021/04/04
Gravellona Toce;103035;-1;28;3.5899999141693115;2021/04/04
Gurro;103036;-1;0;0;2021/04/04
Intragna;103037;-1;0;0;2021/04/04
Loreglia;103038;-1;5;21.459999084472656;2021/04/04
Macugnaga;103039;-1;3;5.539999961853027;2021/04/04
Madonna del Sasso;103040;-1;2;4.940000057220459;2021/04/04
Malesco;103041;-1;3;2.180000066757202;2021/04/04
Masera;103042;-1;1;0.6800000071525574;2021/04/04
Massiola;103043;-1;0;0;2021/04/04
Mergozzo;103044;-1;8;3.700000047683716;2021/04/04
Miazzina;103045;-1;0;0;2021/04/04
Montecrestese;103046;-1;0;0;2021/04/04
Montescheno;103047;-1;7;17.860000610351562;2021/04/04
Nonio;103048;-1;3;3.4800000190734863;2021/04/04
Oggebbio;103049;-1;11;12.600000381469727;2021/04/04
Omegna;103050;-1;94;6.190000057220459;2021/04/04
Ornavasso;103051;-1;18;5.239999771118164;2021/04/04
Pallanzeno;103052;-1;22;19.15999984741211;2021/04/04
Piedimulera;103053;-1;12;7.889999866485596;2021/04/04
Pieve Vergonte;103054;-1;20;7.940000057220459;2021/04/04
Premeno;103055;-1;6;8.220000267028809;2021/04/04
Premia;103056;-1;4;7.230000019073486;2021/04/04
Premosello-Chiovenda;103057;-1;13;6.699999809265137;2021/04/04
Quarna Sopra;103058;-1;0;0;2021/04/04
Quarna Sotto;103059;-1;5;12.989999771118164;2021/04/04
Re;103060;-1;2;2.7200000286102295;2021/04/04
San Bernardino Verbano;103061;-1;6;4.550000190734863;2021/04/04
Santa Maria Maggiore;103062;-1;6;4.639999866485596;2021/04/04
Stresa;103064;-1;20;4.110000133514404;2021/04/04
Toceno;103065;-1;6;8.229999542236328;2021/04/04
Trarego Viggiona;103066;-1;0;0;2021/04/04
Trasquera;103067;-1;0;0;2021/04/04
Trontano;103068;-1;18;10.779999732971191;2021/04/04
Valstrona;103069;-1;8;6.579999923706055;2021/04/04
Vanzone con San Carlo;103070;-1;4;10.470000267028809;2021/04/04
Varzo;103071;-1;8;3.9700000286102295;2021/04/04
Verbania;103072;-1;95;3.109999895095825;2021/04/04
Vignone;103074;-1;1;0.8399999737739563;2021/04/04
Villadossola;103075;-1;78;11.960000038146973;2021/04/04
Villette;103076;-1;2;7.190000057220459;2021/04/04
Vogogna;103077;-1;9;5.130000114440918;2021/04/04
Borgomezzavalle;103078;-1;5;15.869999885559082;2021/04/04
Valle Cannobina;103079;-1;0;0;2021/04/04
Valdilana;096088;-1;45;4.159999847412109;2021/04/04
Quaregna Cerreto;096087;-1;8;3.9200000762939453;2021/04/04
Campiglia Cervo;096086;-1;0;0;2021/04/04
Lessona;096085;-1;11;4.039999961853027;2021/04/04
Zumaglia;096083;-1;1;0.9800000190734863;2021/04/04
