Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2021/04/24
Anzola d'Ossola;103002;-1;10;24.56999969482422;2021/04/24
Arizzano;103003;-1;0;0;2021/04/24
Arola;103004;-1;0;0;2021/04/24
Aurano;103005;-1;0;0;2021/04/24
Baceno;103006;-1;1;1.1100000143051147;2021/04/24
Bannio Anzino;103007;-1;4;8.369999885559082;2021/04/24
Baveno;103008;-1;7;1.4199999570846558;2021/04/24
Bee;103009;-1;4;5.300000190734863;2021/04/24
Belgirate;103010;-1;0;0;2021/04/24
Beura-Cardezza;103011;-1;3;2.0399999618530273;2021/04/24
Bognanco;103012;-1;0;0;2021/04/24
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/04/24
Calasca-Castiglione;103014;-1;0;0;2021/04/24
Cambiasca;103015;-1;0;0;2021/04/24
Cannero Riviera;103016;-1;0;0;2021/04/24
Cannobio;103017;-1;12;2.3399999141693115;2021/04/24
Caprezzo;103018;-1;1;5.920000076293945;2021/04/24
Casale Corte Cerro;103019;-1;5;1.440000057220459;2021/04/24
Ceppo Morelli;103021;-1;2;6.730000019073486;2021/04/24
Cesara;103022;-1;0;0;2021/04/24
Cossogno;103023;-1;0;0;2021/04/24
Craveggia;103024;-1;0;0;2021/04/24
Crevoladossola;103025;-1;26;5.650000095367432;2021/04/24
Crodo;103026;-1;1;0.7200000286102295;2021/04/24
Domodossola;103028;-1;101;5.570000171661377;2021/04/24
Druogno;103029;-1;2;1.8799999952316284;2021/04/24
Formazza;103031;-1;1;2.259999990463257;2021/04/24
Germagno;103032;-1;0;0;2021/04/24
Ghiffa;103033;-1;4;1.7000000476837158;2021/04/24
Gignese;103034;-1;1;0.949999988079071;2021/04/24
Gravellona Toce;103035;-1;7;0.8999999761581421;2021/04/24
Gurro;103036;-1;0;0;2021/04/24
Intragna;103037;-1;0;0;2021/04/24
Loreglia;103038;-1;1;4.289999961853027;2021/04/24
Macugnaga;103039;-1;0;0;2021/04/24
Madonna del Sasso;103040;-1;1;2.4700000286102295;2021/04/24
Malesco;103041;-1;2;1.4500000476837158;2021/04/24
Masera;103042;-1;2;1.350000023841858;2021/04/24
Massiola;103043;-1;0;0;2021/04/24
Mergozzo;103044;-1;2;0.9200000166893005;2021/04/24
Miazzina;103045;-1;0;0;2021/04/24
Montecrestese;103046;-1;4;3.140000104904175;2021/04/24
Montescheno;103047;-1;0;0;2021/04/24
Nonio;103048;-1;2;2.319999933242798;2021/04/24
Oggebbio;103049;-1;1;1.149999976158142;2021/04/24
Omegna;103050;-1;31;2.0399999618530273;2021/04/24
Ornavasso;103051;-1;5;1.4600000381469727;2021/04/24
Pallanzeno;103052;-1;5;4.360000133514404;2021/04/24
Piedimulera;103053;-1;12;7.889999866485596;2021/04/24
Pieve Vergonte;103054;-1;8;3.180000066757202;2021/04/24
Premeno;103055;-1;2;2.740000009536743;2021/04/24
Premia;103056;-1;9;16.270000457763672;2021/04/24
Premosello-Chiovenda;103057;-1;0;0;2021/04/24
Quarna Sopra;103058;-1;0;0;2021/04/24
Quarna Sotto;103059;-1;0;0;2021/04/24
Re;103060;-1;1;1.3600000143051147;2021/04/24
San Bernardino Verbano;103061;-1;0;0;2021/04/24
Santa Maria Maggiore;103062;-1;2;1.5499999523162842;2021/04/24
Stresa;103064;-1;1;0.20999999344348907;2021/04/24
Toceno;103065;-1;1;1.3700000047683716;2021/04/24
Trarego Viggiona;103066;-1;0;0;2021/04/24
