Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/07/08
Anzola d'Ossola;103002;-1;0;0;2020/07/08
Arizzano;103003;-1;0;0;2020/07/08
Arola;103004;-1;0;0;2020/07/08
Aurano;103005;-1;0;0;2020/07/08
Baceno;103006;-1;0;0;2020/07/08
Bannio Anzino;103007;-1;0;0;2020/07/08
Baveno;103008;-1;0;0;2020/07/08
Bee;103009;-1;0;0;2020/07/08
Belgirate;103010;-1;0;0;2020/07/08
Beura-Cardezza;103011;-1;1;0.6800000071525574;2020/07/08
Bognanco;103012;-1;0;0;2020/07/08
Brovello-Carpugnino;103013;-1;0;0;2020/07/08
Calasca-Castiglione;103014;-1;0;0;2020/07/08
Cambiasca;103015;-1;1;0.6200000047683716;2020/07/08
Cannero Riviera;103016;-1;0;0;2020/07/08
Cannobio;103017;-1;3;0.5899999737739563;2020/07/08
Caprezzo;103018;-1;0;0;2020/07/08
Casale Corte Cerro;103019;-1;1;0.28999999165534973;2020/07/08
Ceppo Morelli;103021;-1;0;0;2020/07/08
Cesara;103022;-1;0;0;2020/07/08
Cossogno;103023;-1;0;0;2020/07/08
Craveggia;103024;-1;0;0;2020/07/08
Crevoladossola;103025;-1;4;0.8700000047683716;2020/07/08
Crodo;103026;-1;0;0;2020/07/08
Domodossola;103028;-1;4;0.2199999988079071;2020/07/08
Druogno;103029;-1;0;0;2020/07/08
Formazza;103031;-1;0;0;2020/07/08
Germagno;103032;-1;0;0;2020/07/08
Ghiffa;103033;-1;0;0;2020/07/08
Gignese;103034;-1;0;0;2020/07/08
Gravellona Toce;103035;-1;1;0.12999999523162842;2020/07/08
Gurro;103036;-1;0;0;2020/07/08
Intragna;103037;-1;0;0;2020/07/08
Loreglia;103038;-1;0;0;2020/07/08
Macugnaga;103039;-1;0;0;2020/07/08
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/07/08
Malesco;103041;-1;0;0;2020/07/08
Masera;103042;-1;1;0.6800000071525574;2020/07/08
Massiola;103043;-1;0;0;2020/07/08
Mergozzo;103044;-1;0;0;2020/07/08
Miazzina;103045;-1;0;0;2020/07/08
Montecrestese;103046;-1;0;0;2020/07/08
Montescheno;103047;-1;0;0;2020/07/08
Nonio;103048;-1;0;0;2020/07/08
Oggebbio;103049;-1;0;0;2020/07/08
Omegna;103050;-1;15;0.9900000095367432;2020/07/08
Ornavasso;103051;-1;0;0;2020/07/08
