Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/06/01
Anzola d'Ossola;103002;-1;0;0;2020/06/01
Arizzano;103003;-1;0;0;2020/06/01
Arola;103004;-1;0;0;2020/06/01
Aurano;103005;-1;0;0;2020/06/01
Baceno;103006;-1;0;0;2020/06/01
Bannio Anzino;103007;-1;0;0;2020/06/01
Baveno;103008;-1;1;0.20000000298023224;2020/06/01
Bee;103009;-1;0;0;2020/06/01
Belgirate;103010;-1;1;1.9900000095367432;2020/06/01
Beura-Cardezza;103011;-1;0;0;2020/06/01
Bognanco;103012;-1;0;0;2020/06/01
Brovello-Carpugnino;103013;-1;0;0;2020/06/01
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/06/01
Cambiasca;103015;-1;0;0;2020/06/01
Cannero Riviera;103016;-1;0;0;2020/06/01
Cannobio;103017;-1;1;0.20000000298023224;2020/06/01
Caprezzo;103018;-1;0;0;2020/06/01
Casale Corte Cerro;103019;-1;2;0.5799999833106995;2020/06/01
Ceppo Morelli;103021;-1;0;0;2020/06/01
Cesara;103022;-1;0;0;2020/06/01
Cossogno;103023;-1;0;0;2020/06/01
Craveggia;103024;-1;0;0;2020/06/01
Crevoladossola;103025;-1;0;0;2020/06/01
Crodo;103026;-1;0;0;2020/06/01
Domodossola;103028;-1;1;0.05999999865889549;2020/06/01
Druogno;103029;-1;1;0.9399999976158142;2020/06/01
Formazza;103031;-1;0;0;2020/06/01
Germagno;103032;-1;0;0;2020/06/01
Ghiffa;103033;-1;1;0.41999998688697815;2020/06/01
Gignese;103034;-1;1;0.949999988079071;2020/06/01
Gravellona Toce;103035;-1;0;0;2020/06/01
Gurro;103036;-1;0;0;2020/06/01
Intragna;103037;-1;0;0;2020/06/01
Loreglia;103038;-1;0;0;2020/06/01
Macugnaga;103039;-1;0;0;2020/06/01
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/06/01
Malesco;103041;-1;0;0;2020/06/01
Masera;103042;-1;0;0;2020/06/01
Massiola;103043;-1;0;0;2020/06/01
Mergozzo;103044;-1;0;0;2020/06/01
Miazzina;103045;-1;1;2.619999885559082;2020/06/01
Montecrestese;103046;-1;0;0;2020/06/01
Montescheno;103047;-1;0;0;2020/06/01
Nonio;103048;-1;0;0;2020/06/01
Oggebbio;103049;-1;0;0;2020/06/01
Omegna;103050;-1;27;1.7799999713897705;2020/06/01
Ornavasso;103051;-1;0;0;2020/06/01
Pallanzeno;103052;-1;0;0;2020/06/01
Piedimulera;103053;-1;0;0;2020/06/01
Pieve Vergonte;103054;-1;0;0;2020/06/01
Premeno;103055;-1;0;0;2020/06/01
Premia;103056;-1;0;0;2020/06/01
Premosello-Chiovenda;103057;-1;15;7.730000019073486;2020/06/01
Quarna Sopra;103058;-1;0;0;2020/06/01
