Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2021/02/06
Anzola d'Ossola;103002;-1;0;0;2021/02/06
Arizzano;103003;-1;7;3.4800000190734863;2021/02/06
Arola;103004;-1;1;4.119999885559082;2021/02/06
Aurano;103005;-1;0;0;2021/02/06
Baceno;103006;-1;6;6.690000057220459;2021/02/06
Bannio Anzino;103007;-1;2;4.179999828338623;2021/02/06
Baveno;103008;-1;11;2.240000009536743;2021/02/06
Bee;103009;-1;1;1.3200000524520874;2021/02/06
Belgirate;103010;-1;1;1.9900000095367432;2021/02/06
Beura-Cardezza;103011;-1;1;0.6800000071525574;2021/02/06
Bognanco;103012;-1;0;0;2021/02/06
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/02/06
Calasca-Castiglione;103014;-1;0;0;2021/02/06
Cambiasca;103015;-1;5;3.0799999237060547;2021/02/06
Cannero Riviera;103016;-1;0;0;2021/02/06
Cannobio;103017;-1;13;2.5399999618530273;2021/02/06
Caprezzo;103018;-1;1;5.920000076293945;2021/02/06
Casale Corte Cerro;103019;-1;17;4.900000095367432;2021/02/06
Ceppo Morelli;103021;-1;0;0;2021/02/06
Cesara;103022;-1;0;0;2021/02/06
Cossogno;103023;-1;1;1.4700000286102295;2021/02/06
Craveggia;103024;-1;0;0;2021/02/06
Crevoladossola;103025;-1;24;5.21999979019165;2021/02/06
Crodo;103026;-1;0;0;2021/02/06
Domodossola;103028;-1;44;2.4200000762939453;2021/02/06
Druogno;103029;-1;1;0.9399999976158142;2021/02/06
Formazza;103031;-1;0;0;2021/02/06
Germagno;103032;-1;0;0;2021/02/06
Ghiffa;103033;-1;7;2.9700000286102295;2021/02/06
Gignese;103034;-1;0;0;2021/02/06
Gravellona Toce;103035;-1;22;2.819999933242798;2021/02/06
Gurro;103036;-1;0;0;2021/02/06
Intragna;103037;-1;0;0;2021/02/06
Loreglia;103038;-1;0;0;2021/02/06
Macugnaga;103039;-1;0;0;2021/02/06
Madonna del Sasso;103040;-1;0;0;2021/02/06
Malesco;103041;-1;0;0;2021/02/06
Masera;103042;-1;3;2.0299999713897705;2021/02/06
Massiola;103043;-1;1;7.940000057220459;2021/02/06
Mergozzo;103044;-1;12;5.539999961853027;2021/02/06
Miazzina;103045;-1;4;10.470000267028809;2021/02/06
Montecrestese;103046;-1;1;0.7900000214576721;2021/02/06
Montescheno;103047;-1;0;0;2021/02/06
Nonio;103048;-1;2;2.319999933242798;2021/02/06
Oggebbio;103049;-1;1;1.149999976158142;2021/02/06
Omegna;103050;-1;61;4.019999980926514;2021/02/06
Ornavasso;103051;-1;3;0.8700000047683716;2021/02/06
Pallanzeno;103052;-1;5;4.360000133514404;2021/02/06
Piedimulera;103053;-1;4;2.630000114440918;2021/02/06
Pieve Vergonte;103054;-1;7;2.7799999713897705;2021/02/06
Premeno;103055;-1;0;0;2021/02/06
Premia;103056;-1;0;0;2021/02/06
Premosello-Chiovenda;103057;-1;6;3.0899999141693115;2021/02/06
Quarna Sopra;103058;-1;0;0;2021/02/06
Quarna Sotto;103059;-1;0;0;2021/02/06
Re;103060;-1;2;2.7200000286102295;2021/02/06
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2021/02/06
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2021/02/06
Stresa;103064;-1;12;2.4600000381469727;2021/02/06
Toceno;103065;-1;3;4.119999885559082;2021/02/06
Trarego Viggiona;103066;-1;7;16.790000915527344;2021/02/06
Trasquera;103067;-1;0;0;2021/02/06
Trontano;103068;-1;5;3;2021/02/06
Valstrona;103069;-1;2;1.6399999856948853;2021/02/06
Vanzone con San Carlo;103070;-1;0;0;2021/02/06
Varzo;103071;-1;1;0.5;2021/02/06
Verbania;103072;-1;107;3.509999990463257;2021/02/06
Vignone;103074;-1;2;1.6699999570846558;2021/02/06
Villadossola;103075;-1;13;1.9900000095367432;2021/02/06
Villette;103076;-1;0;0;2021/02/06
Vogogna;103077;-1;3;1.7100000381469727;2021/02/06
Borgomezzavalle;103078;-1;0;0;2021/02/06
Valle Cannobina;103079;-1;0;0;2021/02/06
Valdilana;096088;-1;15;1.3899999856948853;2021/02/06
Quaregna Cerreto;096087;-1;5;2.450000047683716;2021/02/06
Campiglia Cervo;096086;-1;1;1.9900000095367432;2021/02/06
Lessona;096085;-1;6;2.200000047683716;2021/02/06
Zumaglia;096083;-1;5;4.900000095367432;2021/02/06
Zubiena;096082;-1;3;2.609999895095825;2021/02/06
Zimone;096081;-1;0;0;2021/02/06
Viverone;096080;-1;3;2.130000114440918;2021/02/06
Villanova Biellese;096079;-1;0;0;2021/02/06
Villa del Bosco;096078;-1;1;2.990000009536743;2021/02/06
Vigliano Biellese;096077;-1;36;4.699999809265137;2021/02/06
Verrone;096076;-1;3;2.4100000858306885;2021/02/06
Veglio;096075;-1;0;0;2021/02/06
Valle San Nicolao;096074;-1;0;0;2021/02/06
Vallanzengo;096072;-1;1;4.630000114440918;2021/02/06
Valdengo;096071;-1;4;1.6299999952316284;2021/02/06
Torrazzo;096069;-1;0;0;2021/02/06
Tollegno;096068;-1;5;2.0399999618530273;2021/02/06
Ternengo;096067;-1;0;0;2021/02/06
Tavigliano;096066;-1;2;2.1600000858306885;2021/02/06
Strona;096065;-1;0;0;2021/02/06
Sostegno;096064;-1;4;5.199999809265137;2021/02/06
Sordevolo;096063;-1;1;0.75;2021/02/06
Sandigliano;096059;-1;2;0.75;2021/02/06
Salussola;096058;-1;6;3.119999885559082;2021/02/06
Sala Biellese;096057;-1;3;5.070000171661377;2021/02/06
Sagliano Micca;096056;-1;3;1.8700000047683716;2021/02/06
Rosazza;096055;-1;0;0;2021/02/06
