Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/02/23
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/02/23
Arizzano;103003;-1;5;2.490000009536743;2021/02/23
Arola;103004;-1;0;0;2021/02/23
Aurano;103005;-1;0;0;2021/02/23
Baceno;103006;-1;6;6.690000057220459;2021/02/23
Bannio Anzino;103007;-1;0;0;2021/02/23
Baveno;103008;-1;10;2.0299999713897705;2021/02/23
Bee;103009;-1;0;0;2021/02/23
Belgirate;103010;-1;2;3.9800000190734863;2021/02/23
Beura-Cardezza;103011;-1;3;2.0399999618530273;2021/02/23
Bognanco;103012;-1;0;0;2021/02/23
Brovello-Carpugnino;103013;-1;5;7.03000020980835;2021/02/23
Calasca-Castiglione;103014;-1;0;0;2021/02/23
Cambiasca;103015;-1;12;7.389999866485596;2021/02/23
Cannero Riviera;103016;-1;0;0;2021/02/23
Cannobio;103017;-1;7;1.3700000047683716;2021/02/23
Caprezzo;103018;-1;0;0;2021/02/23
Casale Corte Cerro;103019;-1;13;3.75;2021/02/23
Ceppo Morelli;103021;-1;0;0;2021/02/23
Cesara;103022;-1;0;0;2021/02/23
Cossogno;103023;-1;2;2.950000047683716;2021/02/23
Craveggia;103024;-1;7;9.1899995803833;2021/02/23
Crevoladossola;103025;-1;25;5.429999828338623;2021/02/23
Crodo;103026;-1;2;1.4299999475479126;2021/02/23
Domodossola;103028;-1;72;3.9700000286102295;2021/02/23
Druogno;103029;-1;3;2.819999933242798;2021/02/23
Formazza;103031;-1;0;0;2021/02/23
Germagno;103032;-1;0;0;2021/02/23
Ghiffa;103033;-1;8;3.4000000953674316;2021/02/23
Gignese;103034;-1;2;1.909999966621399;2021/02/23
Gravellona Toce;103035;-1;13;1.659999966621399;2021/02/23
Gurro;103036;-1;0;0;2021/02/23
Intragna;103037;-1;0;0;2021/02/23
Loreglia;103038;-1;0;0;2021/02/23
Macugnaga;103039;-1;7;12.920000076293945;2021/02/23
Madonna del Sasso;103040;-1;0;0;2021/02/23
Malesco;103041;-1;14;10.149999618530273;2021/02/23
Masera;103042;-1;8;5.409999847412109;2021/02/23
Massiola;103043;-1;0;0;2021/02/23
Mergozzo;103044;-1;6;2.7699999809265137;2021/02/23
Miazzina;103045;-1;4;10.470000267028809;2021/02/23
Montecrestese;103046;-1;11;8.649999618530273;2021/02/23
