Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;5;11.930000305175781;2021/03/25
Anzola d'Ossola;103002;-1;9;22.110000610351562;2021/03/25
Arizzano;103003;-1;25;12.430000305175781;2021/03/25
Arola;103004;-1;0;0;2021/03/25
Aurano;103005;-1;0;0;2021/03/25
Baceno;103006;-1;2;2.2300000190734863;2021/03/25
Bannio Anzino;103007;-1;9;18.829999923706055;2021/03/25
Baveno;103008;-1;18;3.6600000858306885;2021/03/25
Bee;103009;-1;1;1.3200000524520874;2021/03/25
Belgirate;103010;-1;2;3.9800000190734863;2021/03/25
Beura-Cardezza;103011;-1;10;6.809999942779541;2021/03/25
Bognanco;103012;-1;1;5.320000171661377;2021/03/25
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/03/25
Calasca-Castiglione;103014;-1;5;8.180000305175781;2021/03/25
Cambiasca;103015;-1;9;5.550000190734863;2021/03/25
Cannero Riviera;103016;-1;3;3.299999952316284;2021/03/25
Cannobio;103017;-1;8;1.559999942779541;2021/03/25
Caprezzo;103018;-1;0;0;2021/03/25
Casale Corte Cerro;103019;-1;7;2.0199999809265137;2021/03/25
Ceppo Morelli;103021;-1;2;6.730000019073486;2021/03/25
Cesara;103022;-1;2;3.369999885559082;2021/03/25
Cossogno;103023;-1;0;0;2021/03/25
Craveggia;103024;-1;1;1.309999942779541;2021/03/25
Crevoladossola;103025;-1;34;7.389999866485596;2021/03/25
Crodo;103026;-1;5;3.5799999237060547;2021/03/25
Domodossola;103028;-1;156;8.600000381469727;2021/03/25
Druogno;103029;-1;12;11.279999732971191;2021/03/25
Formazza;103031;-1;1;2.259999990463257;2021/03/25
Germagno;103032;-1;0;0;2021/03/25
Ghiffa;103033;-1;9;3.819999933242798;2021/03/25
Gignese;103034;-1;1;0.949999988079071;2021/03/25
Gravellona Toce;103035;-1;31;3.9700000286102295;2021/03/25
Gurro;103036;-1;0;0;2021/03/25
Intragna;103037;-1;0;0;2021/03/25
Loreglia;103038;-1;0;0;2021/03/25
Macugnaga;103039;-1;0;0;2021/03/25
Madonna del Sasso;103040;-1;8;19.75;2021/03/25
Malesco;103041;-1;10;7.25;2021/03/25
Masera;103042;-1;3;2.0299999713897705;2021/03/25
Massiola;103043;-1;0;0;2021/03/25
Mergozzo;103044;-1;9;4.159999847412109;2021/03/25
Miazzina;103045;-1;0;0;2021/03/25
Montecrestese;103046;-1;2;1.5700000524520874;2021/03/25
Montescheno;103047;-1;12;30.610000610351562;2021/03/25
Nonio;103048;-1;5;5.809999942779541;2021/03/25
Oggebbio;103049;-1;5;5.730000019073486;2021/03/25
Omegna;103050;-1;102;6.710000038146973;2021/03/25
Ornavasso;103051;-1;18;5.239999771118164;2021/03/25
Pallanzeno;103052;-1;13;11.319999694824219;2021/03/25
Piedimulera;103053;-1;11;7.230000019073486;2021/03/25
Pieve Vergonte;103054;-1;24;9.529999732971191;2021/03/25
Premeno;103055;-1;7;9.59000015258789;2021/03/25
Premia;103056;-1;4;7.230000019073486;2021/03/25
Premosello-Chiovenda;103057;-1;5;2.5799999237060547;2021/03/25
Quarna Sopra;103058;-1;1;3.9700000286102295;2021/03/25
Quarna Sotto;103059;-1;4;10.390000343322754;2021/03/25
Re;103060;-1;2;2.7200000286102295;2021/03/25
San Bernardino Verbano;103061;-1;7;5.309999942779541;2021/03/25
Santa Maria Maggiore;103062;-1;20;15.479999542236328;2021/03/25
Stresa;103064;-1;19;3.9000000953674316;2021/03/25
Toceno;103065;-1;7;9.600000381469727;2021/03/25
Trarego Viggiona;103066;-1;1;2.4000000953674316;2021/03/25
Trasquera;103067;-1;0;0;2021/03/25
Trontano;103068;-1;23;13.779999732971191;2021/03/25
Valstrona;103069;-1;7;5.760000228881836;2021/03/25
Vanzone con San Carlo;103070;-1;3;7.849999904632568;2021/03/25
Varzo;103071;-1;21;10.40999984741211;2021/03/25
Verbania;103072;-1;109;3.569999933242798;2021/03/25
Vignone;103074;-1;7;5.860000133514404;2021/03/25
Villadossola;103075;-1;84;12.880000114440918;2021/03/25
Villette;103076;-1;7;25.18000030517578;2021/03/25
Vogogna;103077;-1;7;3.990000009536743;2021/03/25
Borgomezzavalle;103078;-1;7;22.219999313354492;2021/03/25
Valle Cannobina;103079;-1;0;0;2021/03/25
Valdilana;096088;-1;58;5.360000133514404;2021/03/25
Quaregna Cerreto;096087;-1;6;2.940000057220459;2021/03/25
Campiglia Cervo;096086;-1;1;1.9900000095367432;2021/03/25
Lessona;096085;-1;4;1.4700000286102295;2021/03/25
Zumaglia;096083;-1;1;0.9800000190734863;2021/03/25
Zubiena;096082;-1;4;3.4800000190734863;2021/03/25
Zimone;096081;-1;0;0;2021/03/25
Viverone;096080;-1;7;4.960000038146973;2021/03/25
Villanova Biellese;096079;-1;1;5.409999847412109;2021/03/25
Villa del Bosco;096078;-1;1;2.990000009536743;2021/03/25
