Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/05/16
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/05/16
Arizzano;103003;-1;1;0.5;2021/05/16
Arola;103004;-1;0;0;2021/05/16
Aurano;103005;-1;0;0;2021/05/16
Baceno;103006;-1;0;0;2021/05/16
Bannio Anzino;103007;-1;0;0;2021/05/16
Baveno;103008;-1;3;0.6100000143051147;2021/05/16
Bee;103009;-1;0;0;2021/05/16
Belgirate;103010;-1;3;5.960000038146973;2021/05/16
Beura-Cardezza;103011;-1;4;2.7200000286102295;2021/05/16
Bognanco;103012;-1;0;0;2021/05/16
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/05/16
Calasca-Castiglione;103014;-1;0;0;2021/05/16
Cambiasca;103015;-1;0;0;2021/05/16
Cannero Riviera;103016;-1;0;0;2021/05/16
Cannobio;103017;-1;2;0.38999998569488525;2021/05/16
Caprezzo;103018;-1;0;0;2021/05/16
Casale Corte Cerro;103019;-1;5;1.440000057220459;2021/05/16
Ceppo Morelli;103021;-1;0;0;2021/05/16
Cesara;103022;-1;0;0;2021/05/16
Cossogno;103023;-1;0;0;2021/05/16
Craveggia;103024;-1;6;7.869999885559082;2021/05/16
Crevoladossola;103025;-1;27;5.869999885559082;2021/05/16
Crodo;103026;-1;7;5.010000228881836;2021/05/16
Domodossola;103028;-1;43;2.369999885559082;2021/05/16
Druogno;103029;-1;11;10.34000015258789;2021/05/16
Formazza;103031;-1;1;2.259999990463257;2021/05/16
Germagno;103032;-1;0;0;2021/05/16
Ghiffa;103033;-1;3;1.2699999809265137;2021/05/16
Gignese;103034;-1;3;2.859999895095825;2021/05/16
Gravellona Toce;103035;-1;13;1.659999966621399;2021/05/16
Gurro;103036;-1;0;0;2021/05/16
Intragna;103037;-1;0;0;2021/05/16
Loreglia;103038;-1;0;0;2021/05/16
Macugnaga;103039;-1;1;1.850000023841858;2021/05/16
Madonna del Sasso;103040;-1;2;4.940000057220459;2021/05/16
Malesco;103041;-1;4;2.9000000953674316;2021/05/16
Masera;103042;-1;2;1.350000023841858;2021/05/16
Massiola;103043;-1;0;0;2021/05/16
Mergozzo;103044;-1;12;5.539999961853027;2021/05/16
Miazzina;103045;-1;0;0;2021/05/16
Montecrestese;103046;-1;9;7.079999923706055;2021/05/16
Montescheno;103047;-1;1;2.549999952316284;2021/05/16
Nonio;103048;-1;0;0;2021/05/16
Oggebbio;103049;-1;0;0;2021/05/16
Omegna;103050;-1;22;1.4500000476837158;2021/05/16
Ornavasso;103051;-1;6;1.75;2021/05/16
Pallanzeno;103052;-1;6;5.230000019073486;2021/05/16
Piedimulera;103053;-1;2;1.309999942779541;2021/05/16
Pieve Vergonte;103054;-1;1;0.4000000059604645;2021/05/16
Premeno;103055;-1;0;0;2021/05/16
Premia;103056;-1;5;9.039999961853027;2021/05/16
Premosello-Chiovenda;103057;-1;5;2.5799999237060547;2021/05/16
Quarna Sopra;103058;-1;2;7.940000057220459;2021/05/16
Quarna Sotto;103059;-1;2;5.190000057220459;2021/05/16
Re;103060;-1;1;1.3600000143051147;2021/05/16
San Bernardino Verbano;103061;-1;7;5.309999942779541;2021/05/16
Santa Maria Maggiore;103062;-1;9;6.96999979019165;2021/05/16
Stresa;103064;-1;8;1.6399999856948853;2021/05/16
Toceno;103065;-1;4;5.489999771118164;2021/05/16
Trarego Viggiona;103066;-1;0;0;2021/05/16
Trasquera;103067;-1;0;0;2021/05/16
Trontano;103068;-1;8;4.789999961853027;2021/05/16
Valstrona;103069;-1;4;3.2899999618530273;2021/05/16
Vanzone con San Carlo;103070;-1;11;28.799999237060547;2021/05/16
Varzo;103071;-1;3;1.4900000095367432;2021/05/16
Verbania;103072;-1;31;1.0199999809265137;2021/05/16
Vignone;103074;-1;0;0;2021/05/16
Villadossola;103075;-1;22;3.369999885559082;2021/05/16
Villette;103076;-1;1;3.5999999046325684;2021/05/16
Vogogna;103077;-1;0;0;2021/05/16
Borgomezzavalle;103078;-1;0;0;2021/05/16
Valle Cannobina;103079;-1;0;0;2021/05/16
Valdilana;096088;-1;34;3.140000104904175;2021/05/16
Quaregna Cerreto;096087;-1;0;0;2021/05/16
Campiglia Cervo;096086;-1;0;0;2021/05/16
Lessona;096085;-1;2;0.7300000190734863;2021/05/16
Zumaglia;096083;-1;9;8.8100004196167;2021/05/16
Zubiena;096082;-1;0;0;2021/05/16
Zimone;096081;-1;4;10.029999732971191;2021/05/16
Viverone;096080;-1;0;0;2021/05/16
Villanova Biellese;096079;-1;0;0;2021/05/16
Villa del Bosco;096078;-1;0;0;2021/05/16
Vigliano Biellese;096077;-1;19;2.4800000190734863;2021/05/16
Verrone;096076;-1;2;1.600000023841858;2021/05/16
Veglio;096075;-1;4;8.390000343322754;2021/05/16
Valle San Nicolao;096074;-1;4;4.210000038146973;2021/05/16
Vallanzengo;096072;-1;0;0;2021/05/16
Valdengo;096071;-1;6;2.440000057220459;2021/05/16
Torrazzo;096069;-1;0;0;2021/05/16
Tollegno;096068;-1;14;5.71999979019165;2021/05/16
Ternengo;096067;-1;0;0;2021/05/16
Tavigliano;096066;-1;8;8.630000114440918;2021/05/16
Strona;096065;-1;6;5.610000133514404;2021/05/16
Sostegno;096064;-1;3;3.9000000953674316;2021/05/16
Sordevolo;096063;-1;2;1.4900000095367432;2021/05/16
Sandigliano;096059;-1;2;0.75;2021/05/16
Salussola;096058;-1;0;0;2021/05/16
Sala Biellese;096057;-1;0;0;2021/05/16
Sagliano Micca;096056;-1;1;0.6200000047683716;2021/05/16
Rosazza;096055;-1;3;32.970001220703125;2021/05/16
Roppolo;096054;-1;3;3.4100000858306885;2021/05/16
Ronco Biellese;096053;-1;3;1.9900000095367432;2021/05/16
Pray;096050;-1;2;0.949999988079071;2021/05/16
Pralungo;096049;-1;4;1.690000057220459;2021/05/16
Portula;096048;-1;0;0;2021/05/16
Ponderano;096047;-1;8;2.109999895095825;2021/05/16
Pollone;096046;-1;5;2.369999885559082;2021/05/16
Piedicavallo;096044;-1;0;0;2021/05/16
Piatto;096043;-1;2;3.9700000286102295;2021/05/16
Pettinengo;096042;-1;3;1.9700000286102295;2021/05/16
Occhieppo Superiore;096041;-1;6;2.2300000190734863;2021/05/16
Occhieppo Inferiore;096040;-1;16;4.099999904632568;2021/05/16
Netro;096039;-1;2;2.059999942779541;2021/05/16
Muzzano;096038;-1;1;1.659999966621399;2021/05/16
Mottalciata;096037;-1;9;6.650000095367432;2021/05/16
Mongrando;096035;-1;8;2.109999895095825;2021/05/16
Miagliano;096034;-1;0;0;2021/05/16
Mezzana Mortigliengo;096033;-1;10;19.959999084472656;2021/05/16
Masserano;096032;-1;2;0.9599999785423279;2021/05/16
Massazza;096031;-1;7;12.569999694824219;2021/05/16
Magnano;096030;-1;0;0;2021/05/16
Graglia;096028;-1;10;6.610000133514404;2021/05/16
Gifflenga;096027;-1;3;26.549999237060547;2021/05/16
Gaglianico;096026;-1;12;3.2100000381469727;2021/05/16
Dorzano;096025;-1;0;0;2021/05/16
Donato;096024;-1;2;2.7799999713897705;2021/05/16
Curino;096023;-1;2;4.159999847412109;2021/05/16
Crevacuore;096021;-1;7;4.670000076293945;2021/05/16
Cossato;096020;-1;49;3.369999885559082;2021/05/16
Coggiola;096019;-1;3;1.6699999570846558;2021/05/16
Cerrione;096018;-1;10;3.4700000286102295;2021/05/16
Cavaglià;096016;-1;6;1.649999976158142;2021/05/16
Castelletto Cervo;096015;-1;2;2.440000057220459;2021/05/16
Casapinta;096014;-1;0;0;2021/05/16
Caprile;096013;-1;0;0;2021/05/16
Candelo;096012;-1;42;5.579999923706055;2021/05/16
Camburzano;096010;-1;1;0.8700000047683716;2021/05/16
Camandona;096009;-1;0;0;2021/05/16
Callabiana;096008;-1;0;0;2021/05/16
Brusnengo;096007;-1;3;1.4900000095367432;2021/05/16
Borriana;096006;-1;2;2.2899999618530273;2021/05/16
Bioglio;096005;-1;0;0;2021/05/16
Biella;096004;-1;136;3.0899999141693115;2021/05/16
Benna;096003;-1;14;11.949999809265137;2021/05/16
Andorno Micca;096002;-1;19;5.980000019073486;2021/05/16
Ailoche;096001;-1;0;0;2021/05/16
Lu e Cuccaro Monferrato;006193;-1;1;0.7099999785423279;2021/05/16
Alluvioni Piovera;006192;-1;3;1.7300000190734863;2021/05/16
Cassano Spinola;006191;-1;5;2.7699999809265137;2021/05/16
Voltaggio;006190;-1;0;0;2021/05/16
Volpeglino;006189;-1;0;0;2021/05/16
